Date,Waste generated (kg)
17-02-2018,7.5
18-02-2018,11.5
19-02-2018,4.25
20-02-2018,12
21-02-2018,5.5
22-02-2018,12
23-02-2018,14
24-02-2018,23
25-02-2018,15
26-02-2018,14
27-02-2018,15
28-02-2018,19
01-03-2018,6.5
02-03-2018,
03-03-2018,32
04-03-2018,10
05-03-2018,16
06-03-2018,5.5
07-03-2018,17
08-03-2018,11.5
09-03-2018,16
10-03-2018,25
11-03-2018,9
12-03-2018,21
13-03-2018,15
14-03-2018,21
15-03-2018,12
16-03-2018,27
17-03-2018,22
18-03-2018,9.5
19-03-2018,14
20-03-2018,27
21-03-2018,14
22-03-2018,10
23-03-2018,25
24-03-2018,10
25-03-2018,7
26-03-2018,21
27-03-2018,20.5
28-03-2018,8.5
29-03-2018,16
30-03-2018,7
31-03-2018,11
01-04-2018,9
02-04-2018,5
03-04-2018,30.5
04-04-2018,19.5
05-04-2018,13.5
06-04-2018,21.5
07-04-2018,30.5
08-04-2018,5
09-04-2018,21
10-04-2018,27
11-04-2018,14.5
12-04-2018,10.5
13-04-2018,11.5
14-04-2018,10
15-04-2018,
16-04-2018,8.5
17-04-2018,11
18-04-2018,5.5
19-04-2018,
20-04-2018,19
21-04-2018,21
22-04-2018,9
23-04-2018,18
24-04-2018,
25-04-2018,4.25
26-04-2018,3
27-04-2018,12
28-04-2018,
29-04-2018,4.5
30-04-2018,9
01-05-2018,
02-05-2018,
03-05-2018,14
04-05-2018,
05-05-2018,
06-05-2018,17
07-05-2018,
08-05-2018,
09-05-2018,
10-05-2018,
11-05-2018,8.75
12-05-2018,2.5
13-05-2018,8.5
14-05-2018,4
15-05-2018,
16-05-2018,5
17-05-2018,1.5
18-05-2018,
19-05-2018,21.5
20-05-2018,14.5
21-05-2018,
22-05-2018,
23-05-2018,3
24-05-2018,14
25-05-2018,
26-05-2018,
27-05-2018,0.75
28-05-2018,
29-05-2018,
30-05-2018,
31-05-2018,2
01-06-2018,5
02-06-2018,15
03-06-2018,2
04-06-2018,7
05-06-2018,0.5
06-06-2018,9
07-06-2018,8.5
08-06-2018,1.5
09-06-2018,2.5
10-06-2018,17
11-06-2018,2.25
12-06-2018,5.75
13-06-2018,
14-06-2018,
15-06-2018,
16-06-2018,12
17-06-2018,29.8
18-06-2018,6.75
19-06-2018,
20-06-2018,10.25
21-06-2018,10
22-06-2018,8
23-06-2018,8
24-06-2018,
25-06-2018,3.5
26-06-2018,
27-06-2018,9.75
28-06-2018,
29-06-2018,1.5
30-06-2018,8
01-07-2018,0.5
02-07-2018,
03-07-2018,
04-07-2018,7.5
05-07-2018,
06-07-2018,10.5
07-07-2018,9
08-07-2018,
09-07-2018,5
10-07-2018,3.5
11-07-2018,22.25
12-07-2018,2.75
13-07-2018,15.5
14-07-2018,
15-07-2018,
16-07-2018,
17-07-2018,19.5
18-07-2018,4
19-07-2018,0.5
20-07-2018,8.5
21-07-2018,0.5
22-07-2018,9.5
23-07-2018,11.5
24-07-2018,1.25
25-07-2018,7
26-07-2018,6.5
27-07-2018,18
28-07-2018,6.75
29-07-2018,7.5
30-07-2018,0.5
31-07-2018,
01-08-2018,26.75
02-08-2018,1
03-08-2018,7.5
04-08-2018,13
05-08-2018,10.5
06-08-2018,3
07-08-2018,0.5
08-08-2018,1.5
09-08-2018,16.5
10-08-2018,10.5
11-08-2018,7
12-08-2018,7.5
13-08-2018,
14-08-2018,4
15-08-2018,8
16-08-2018,11
17-08-2018,4.5
18-08-2018,9.5
19-08-2018,4
20-08-2018,7
21-08-2018,8.5
22-08-2018,11
23-08-2018,4.5
24-08-2018,7
25-08-2018,
26-08-2018,19.5
27-08-2018,14
28-08-2018,11
29-08-2018,14
30-08-2018,3.5
31-08-2018,7
01-09-2018,8
02-09-2018,6.5
03-09-2018,3.5
04-09-2018,3
05-09-2018,11
06-09-2018,
07-09-2018,
08-09-2018,13.25
09-09-2018,12
10-09-2018,13
11-09-2018,2.25
12-09-2018,8.25
13-09-2018,13.75
14-09-2018,2.25
15-09-2018,0.25
16-09-2018,7.45
17-09-2018,
18-09-2018,
19-09-2018,
20-09-2018,6
21-09-2018,
22-09-2018,
23-09-2018,
24-09-2018,14.25
25-09-2018,1
26-09-2018,12.75
27-09-2018,5.25
28-09-2018,3.5
29-09-2018,15.5
30-09-2018,
01-10-2018,4.5
02-10-2018,
03-10-2018,0.5
04-10-2018,9
05-10-2018,3
06-10-2018,5.75
07-10-2018,13
08-10-2018,1.25
09-10-2018,4
10-10-2018,6.5
11-10-2018,6.75
12-10-2018,0.5
13-10-2018,15.75
14-10-2018,15.25
15-10-2018,12.5
16-10-2018,0.25
17-10-2018,2
18-10-2018,4
19-10-2018,5
20-10-2018,1
21-10-2018,10
22-10-2018,2
23-10-2018,
24-10-2018,10
25-10-2018,13
26-10-2018,21
27-10-2018,2.5
28-10-2018,19.5
29-10-2018,
30-10-2018,
31-10-2018,8.25
01-11-2018,8
02-11-2018,
03-11-2018,6.5
04-11-2018,11
05-11-2018,
06-11-2018,6
07-11-2018,4
08-11-2018,0.5
09-11-2018,4.5
10-11-2018,15
11-11-2018,3.5
12-11-2018,
13-11-2018,10
14-11-2018,
15-11-2018,2.5
16-11-2018,2
17-11-2018,9
18-11-2018,17.5
19-11-2018,9.5
20-11-2018,7
21-11-2018,14
22-11-2018,12.5
23-11-2018,5.5
24-11-2018,9
25-11-2018,3.5
26-11-2018,
27-11-2018,14
28-11-2018,
29-11-2018,4.5
30-11-2018,6.5
01-12-2018,
02-12-2018,14.75
03-12-2018,11.5
04-12-2018,5.25
05-12-2018,
06-12-2018,4
07-12-2018,6
08-12-2018,2
09-12-2018,13.5
10-12-2018,8.5
11-12-2018,9
12-12-2018,8.5
13-12-2018,
14-12-2018,
15-12-2018,2
16-12-2018,4
17-12-2018,4.5
18-12-2018,3.5
19-12-2018,17.5
20-12-2018,19.5
21-12-2018,5.75
22-12-2018,4.5
23-12-2018,2
24-12-2018,
25-12-2018,13
26-12-2018,12.5
27-12-2018,
28-12-2018,
29-12-2018,
30-12-2018,12
31-12-2018,
01-01-2019,6.5
02-01-2019,13
03-01-2019,5.5
04-01-2019,25
05-01-2019,4
06-01-2019,11
07-01-2019,10
08-01-2019,
09-01-2019,
10-01-2019,14
11-01-2019,10
12-01-2019,4
13-01-2019,8
14-01-2019,5
15-01-2019,4
16-01-2019,
17-01-2019,9
18-01-2019,4
19-01-2019,7
20-01-2019,
21-01-2019,8.5
22-01-2019,11.5
23-01-2019,2
24-01-2019,7
25-01-2019,11
26-01-2019,1.5
27-01-2019,7.5
28-01-2019,15
29-01-2019,14.5
30-01-2019,19
31-01-2019,4
01-02-2019,5.5
02-02-2019,4.5
03-02-2019,5.5
04-02-2019,4
05-02-2019,15
06-02-2019,5
07-02-2019,3.5
08-02-2019,6.5
09-02-2019,10
10-02-2019,12
11-02-2019,13.5
12-02-2019,
13-02-2019,4
14-02-2019,11
15-02-2019,0.5
16-02-2019,4
17-02-2019,
18-02-2019,3.5
19-02-2019,9
20-02-2019,5.5
21-02-2019,
22-02-2019,
23-02-2019,17.5
24-02-2019,3
25-02-2019,6.5
26-02-2019,0.5
27-02-2019,1.5
28-02-2019,14
01-03-2019,9
02-03-2019,10.5
03-03-2019,19
04-03-2019,11
05-03-2019,6
06-03-2019,12
07-03-2019,1.5
08-03-2019,20.5
09-03-2019,
10-03-2019,
11-03-2019,4.5
12-03-2019,14
13-03-2019,
14-03-2019,14.5
15-03-2019,
16-03-2019,6.5
17-03-2019,8.5
18-03-2019,2
19-03-2019,3.5
20-03-2019,4.5
21-03-2019,3.5
22-03-2019,5
23-03-2019,6.5
24-03-2019,5
25-03-2019,12.5
26-03-2019,6.1
27-03-2019,14
28-03-2019,17
29-03-2019,21
30-03-2019,2
31-03-2019,2
01-04-2019,12
02-04-2019,3
03-04-2019,3
04-04-2019,10
05-04-2019,3
06-04-2019,2.5
07-04-2019,0.5
08-04-2019,
09-04-2019,7
10-04-2019,4
11-04-2019,12.5
12-04-2019,
13-04-2019,
14-04-2019,1
15-04-2019,2
16-04-2019,11.75
17-04-2019,
18-04-2019,9
19-04-2019,7
20-04-2019,4.5
21-04-2019,4
22-04-2019,6.5
23-04-2019,
24-04-2019,4.5
25-04-2019,7
26-04-2019,
27-04-2019,
28-04-2019,5.5
29-04-2019,9
30-04-2019,0.5
01-05-2019,2
02-05-2019,5.75
03-05-2019,8
04-05-2019,20
05-05-2019,18
06-05-2019,10.5
07-05-2019,7
08-05-2019,11
09-05-2019,16.5
10-05-2019,
11-05-2019,11.5
12-05-2019,8
13-05-2019,5
14-05-2019,2
