Date,Waste generated (kg)
06-03-2019,50
07-03-2019,60
08-03-2019,50
09-03-2019,46
10-03-2019,36
11-03-2019,57
12-03-2019,38
13-03-2019,67
14-03-2019,63
15-03-2019,43
16-03-2019,51
17-03-2019,34
18-03-2019,34
19-03-2019,68
20-03-2019,25
21-03-2019,56
22-03-2019,31
23-03-2019,53
24-03-2019,50
25-03-2019,86
26-03-2019,56
27-03-2019,83
28-03-2019,92
29-03-2019,52
30-03-2019,107
31-03-2019,93
01-04-2019,40
02-04-2019,57
03-04-2019,65
04-04-2019,100
05-04-2019,52
06-04-2019,55
07-04-2019,68
08-04-2019,22
09-04-2019,15
10-04-2019,97
11-04-2019,48
12-04-2019,58
13-04-2019,47
14-04-2019,38
15-04-2019,38
16-04-2019,83
17-04-2019,27
18-04-2019,21
19-04-2019,45
20-04-2019,48
21-04-2019,78
22-04-2019,53
23-04-2019,84
24-04-2019,64
25-04-2019,43
26-04-2019,51
27-04-2019,88
28-04-2019,42
29-04-2019,29
30-04-2019,34
01-05-2019,0
02-05-2019,10
03-05-2019,12
04-05-2019,20
05-05-2019,43
06-05-2019,16
07-05-2019,31
08-05-2019,22
09-05-2019,18
10-05-2019,38
11-05-2019,46
12-05-2019,42
13-05-2019,80
14-05-2019,71
15-05-2019,122
16-05-2019,77
17-05-2019,73
18-05-2019,55
19-05-2019,75
20-05-2019,44
21-05-2019,81
22-05-2019,69
23-05-2019,65
24-05-2019,67
25-05-2019,40
26-05-2019,55
27-05-2019,74
28-05-2019,38
29-05-2019,32
30-05-2019,47
31-05-2019,36
01-06-2019,50
02-06-2019,46
03-06-2019,69
04-06-2019,61
05-06-2019,57
06-06-2019,62
07-06-2019,49
08-06-2019,48
09-06-2019,88
10-06-2019,47
11-06-2019,62
12-06-2019,43
13-06-2019,57
14-06-2019,32
