Date,Waste generated (kg)
01-01-2019,31
02-01-2019,44
03-01-2019,30
04-01-2019,53
05-01-2019,72
06-01-2019,37
07-01-2019,60
08-01-2019,
09-01-2019,
10-01-2019,53
11-01-2019,54
12-01-2019,60
13-01-2019,63
14-01-2019,56
15-01-2019,48
16-01-2019,41
17-01-2019,56
18-01-2019,51
19-01-2019,31
20-01-2019,15
21-01-2019,24
22-01-2019,29
23-01-2019,50
24-01-2019,29
25-01-2019,38
26-01-2019,38
27-01-2019,21
28-01-2019,53
29-01-2019,48
30-01-2019,28
31-01-2019,64
01-02-2019,43
02-02-2019,61
03-02-2019,35
04-02-2019,25
05-02-2019,36
06-02-2019,39
07-02-2019,45
08-02-2019,26
09-02-2019,28
10-02-2019,28
11-02-2019,45
12-02-2019,58
13-02-2019,31
14-02-2019,23
15-02-2019,29
16-02-2019,29
17-02-2019,31
18-02-2019,32
19-02-2019,52
20-02-2019,
21-02-2019,
22-02-2019,54
23-02-2019,32
24-02-2019,18
25-02-2019,52
26-02-2019,31
27-02-2019,
28-02-2019,46
01-03-2019,33
02-03-2019,57
03-03-2019,31
04-03-2019,32
05-03-2019,32
06-03-2019,28
07-03-2019,72
08-03-2019,37
09-03-2019,56
10-03-2019,57
11-03-2019,64
12-03-2019,28
13-03-2019,68
14-03-2019,30
15-03-2019,46
16-03-2019,38
17-03-2019,
18-03-2019,34
19-03-2019,70
20-03-2019,
21-03-2019,42
22-03-2019,53
23-03-2019,40
24-03-2019,37
25-03-2019,64
26-03-2019,38
27-03-2019,
28-03-2019,62
29-03-2019,43
30-03-2019,116
31-03-2019,
01-04-2019,54
02-04-2019,41
03-04-2019,63
04-04-2019,39
05-04-2019,33
06-04-2019,40
07-04-2019,43
08-04-2019,63
09-04-2019,29
10-04-2019,62
11-04-2019,75
12-04-2019,35
13-04-2019,
14-04-2019,
15-04-2019,
16-04-2019,46
17-04-2019,29
18-04-2019,43
19-04-2019,36
20-04-2019,45
21-04-2019,24
22-04-2019,61
23-04-2019,49
24-04-2019,54
25-04-2019,54
26-04-2019,37
27-04-2019,51
28-04-2019,31
29-04-2019,39
30-04-2019,55
01-05-2019,43
02-05-2019,46
03-05-2019,36
04-05-2019,57
05-05-2019,36
06-05-2019,64
07-05-2019,37
08-05-2019,48
09-05-2019,53
10-05-2019,35
11-05-2019,38
12-05-2019,50
13-05-2019,37
14-05-2019,60
15-05-2019,39
16-05-2019,48
17-05-2019,47
18-05-2019,41
19-05-2019,31
20-05-2019,54
21-05-2019,61
22-05-2019,54
23-05-2019,62
24-05-2019,56
25-05-2019,30
26-05-2019,51
27-05-2019,38
28-05-2019,41
29-05-2019,49
30-05-2019,42
31-05-2019,37
01-06-2019,62
02-06-2019,48
03-06-2019,31
04-06-2019,40
05-06-2019,32
06-06-2019,28
07-06-2019,32
,
,
,
,
