DAY,FOOD WASTE
,
WEEK 1,
1-Mar-2019,21.5
2-Mar-2019,130
3-Mar-2019,58.5
4-Mar-2019,62
5-Mar-2019,33.5
6-Mar-2019,56
7-Mar-2019,38
,
WEEK 2,
8-Mar-2019,48.5
9-Mar-2019,56
10-Mar-2019,55
11-Mar-2019,84
12-Mar-2019,36
13-Mar-2019,34
14-Mar-2019,42
,
WEEK 3,
15-Mar-2019,35
16-Mar-2019,46
17-Mar-2019,39.5
18-Mar-2019,32
19-Mar-2019,45.5
20-Mar-2019,41.5
21-Mar-2019,36
,
WEEK 4,
22-Mar-2019,37.5
23-Mar-2019,35.5
24-Mar-2019,52
25-Mar-2019,40
26-Mar-2019,29.55
27-Mar-2019,34.5
28-Mar-2019,30
,
WEEK 5,
29-Mar-2019,32
30-Mar-2019,28
31-Mar-2019,35
,
WEEK 1,
1-Apr-2019,31.95
2-Apr-2019,26.5
3-Apr-2019,19.5
4-Apr-2019,31.5
5-Apr-2019,85.5
6-Apr-2019,59.8
7-Apr-2019,35
,
WEEK 2,
8-Apr-2019,42.5
9-Apr-2019,33.5
10-Apr-2019,27
11-Apr-2019,41
12-Apr-2019,44
13-Apr-2019,49
14-Apr-2019,31
,
WEEK 3,
15-Apr-2019,19
16-Apr-2019,51
17-Apr-2019,33
18-Apr-2019,17
19-Apr-2019,23
20-Apr-2019,56
21-Apr-2019,52
,
WEEK 4,
22-Apr-2019,69.5
23-Apr-2019,
24-Apr-2019,61.5
25-Apr-2019,32
26-Apr-2019,48
27-Apr-2019,59.6
28-Apr-2019,54
,
WEEK 5,
29-Apr-2019,32
30-Apr-2019,38
,
,
WEEK 1,
1-May-2019,43
2-May-2019,75
3-May-2019,63.5
4-May-2019,74
5-May-2019,38
6-May-2019,67
7-May-2019,33
,
WEEK 2,
8-May-2019,52
9-May-2019,51
10-May-2019,68
11-May-2019,93.2
12-May-2019,87.5
13-May-2019,46
14-May-2019,71.5
,
WEEK 3,
15-May-2019,69
16-May-2019,56
17-May-2019,48.5
18-May-2019,70
19-May-2019,46
20-May-2019,68
21-May-2019,43
,
WEEK 4,
22-May-2019,52
23-May-2019,75
24-May-2019,
25-May-2019,
26-May-2019,
27-May-2019,
28-May-2019,
,
WEEK 5,
29-May-2019,
30-May-2019,
31-May-2019,
