Date,No of Persons,Food waste generated (kg),Plastic Waste generated(kg),"Leather,bag,glass waste generated(kg)"
,,,,
1/14/1900,18,,20.5,
8/5/2018,14,,14.5,
8/6/2018,7,,7.33,
8/7/2018,16,,32.2,
8/8/2018,9,,17.2,
8/9/2018,10,,13.4,
8/10/2018,10,,23.8,
8/11/2018,17,,32,
8/12/2018,9,,6.8,
8/13/2018,4,,3.8,
8/14/2018,13,,12.9,
8/15/2018,6,,16,
8/16/2018,10,,4,
8/17/2018,8,,5,
8/18/2018,9,,13.8,
8/19/2018,8,,19.5,
8/20/2018,7,,5,
8/21/2018,7,,9,
8/22/2018,15,,19.8,
8/24/2018,6,,13.3,
8/26/2018,8,,7.3,
8/27/2018,6,,3.3,
8/28/2018,6,,3.8,
8/29/2018,10,,10,
8/30/2018,6,,3.4,
8/31/2018,11,,5.4,
,,,,
9/1/2018,12,,9,
9/2/2018,18,,27.5,
9/3/2018,9,,7.7,
9/4/2018,11,,12,
9/5/2018,5,,5.5,
9/6/2018,5,,7.2,
9/7/2018,11,,6.8,
9/8/2018,23,74,30.5,
9/9/2018,25,118,25,
9/10/2018,24,117,5.5,
9/11/2018,22,118,10.5,
9/12/2018,24,119,5.5,
9/13/2018,25,120,4.7,
9/14/2018,30,127,4.6,
9/15/2018,28,123,12,
9/16/2018,28,129,23,
9/17/2018,28,125,15.3,
9/18/2018,28,139,5.2,
9/19/2018,28,125,9,
9/20/2018,28,132,16.3,
9/21/2018,26,125,,
9/22/2018,26,132,7,
9/23/2018,27,156,18,
9/24/2018,28,132,15,
9/25/2018,26,121,8,
9/26/2018,25,107,8.7,
9/27/2018,14,75,3.6,
9/28/2018,17,101,5.7,
9/29/2018,17,95,16.7,
9/29/2018,9,,6,
9/30/2018,18,78,19.5,
,,,,
10/1/2018,24,109,5.3,
10/2/2018,25,94,14,
10/3/2018,25,104,10,
10/4/2018,12,70,13.2,
10/5/2018,28,132,25,
10/6/2018,24,125,11.1,
10/7/2018,23,73,7.5,
10/8/2018,22,97,8.7,
10/9/2018,22,104,8.7,
10/10/2018,16,90,10.5,
10/11/2018,21,90,7.5,
10/12/2018,20,86,4.5,
10/13/2018,17,80,11,
10/14/2018,19,101,4,
10/15/2018,20,113,19,
10/16/2018,23,105,11,
10/17/2018,23,77,5.7,
10/18/2018,17,74,2.9,
10/19/2018,28,122,23,
10/20/2018,20,95,10,
10/21/2018,22,102,24,
10/22/2018,17,74,34.7,
10/23/2018,19,86,9.7,
10/24/2018,17,91,7.2,
10/25/2018,18,83,12.5,
10/26/2018,21,70,10.3,
10/27/2018,21,99,6,
10/28/2018,21,99,7,
10/29/2018,18,89,7.2,
10/30/2018,17,70,3.5,
10/31/2018,17,48,,
,,,,
11/1/2018,17,88,7.1,
11/2/2018,19,59,1.4,
11/3/2018,16,84,2.7,
11/4/2018,26,144,24.7,
