Date,Waste generated (kg)
23-09-2018,58
24-09-2018,40.5
25-09-2018,63
26-09-2018,45
27-09-2018,65
28-09-2018,59
29-09-2018,65.5
,
30-09-2018,53
01-10-2018,76
02-10-2018,71
03-10-2018,42.9
04-10-2018,35
05-10-2018,37
06-10-2018,47
,
07-10-2018,16.8
08-10-2018,28.9
09-10-2018,72
10-10-2018,103
11-10-2018,76
12-10-2018,85
13-10-2018,66
,
14-10-2018,76
15-10-2018,46
16-10-2018,22
17-10-2018,32
18-10-2018,56
19-10-2018,56
20-10-2018,45
,
21-10-2018,58
22-10-2018,34
23-10-2018,45
24-10-2018,58
25-10-2018,57.9
26-10-2018,43
27-10-2018,23
,
28-10-2018,45
29-10-2018,65
30-10-2018,32
31-10-2018,76
01-11-2018,64
02-11-2018,72
,
03-11-2018,34
04-11-2018,65
05-11-2018,67
06-11-2018,45
07-11-2018,56
08-11-2018,52
09-11-2018,32
,
10-11-2018,38
11-11-2018,35
12-11-2018,54
13-11-2018,53
14-11-2018,67
15-11-2018,34
16-11-2018,40
,
17-11-2018,58
18-11-2018,45
19-11-2018,58
20-11-2018,65
21-11-2018,45
22-11-2018,78
23-11-2018,23
,
24-11-2018,48
25-11-2018,47
26-11-2018,43
27-11-2018,56.9
28-11-2018,76.4
29-11-2018,23.9
30-11-2018,45
,
31/11/2018,76
01-12-2018,23
02-12-2018,43
03-12-2018,64
04-12-2018,54
05-12-2018,32
06-12-2018,33
,
,
01-01-2019,17
02-01-2019,14
03-01-2019,10
04-01-2019,8
05-01-2019,12
06-01-2019,5.8
07-01-2019,16
,
08-01-2019,12.5
09-01-2019,13.5
10-01-2019,11
11-01-2019,12
12-01-2019,15.7
13-01-2019,16.8
14-01-2019,12.4
,
15-01-2019,18
16-01-2019,15
17-01-2019,14.6
18-01-2019,12
19-01-2019,9
20-01-2019,6
21-01-2019,12
,
22-01-2019,14
23-01-2019,11
24-01-2019,12
25-01-2019,14
26-01-2019,19
27-01-2019,12.3
28-01-2019,10
,
29-01-2019,14
30-01-2019,11
01-02-2019,17
02-02-2019,18
03-02-2019,27
04-02-2019,19
05-02-2019,13
,
06-02-2019,27
07-02-2019,34
08-02-2019,12
09-02-2019,18
10-02-2019,23
11-02-2019,27
12-02-2019,24.7
,
13-02-2019,13.8
14-02-2019,19
15-02-2019,25.9
16-02-2019,26
17-02-2019,25.4
18-02-2019,14
19-02-2019,13.9
,
20-02-2019,12
21-02-2019,24
22-02-2019,22
23-02-2019,32
24-02-2019,15
25-02-2019,16
26-02-2019,13
,
27-02-2019,28
28-02-2019,26
01-03-2019,34
02-03-2019,43
03-03-2019,13
04-03-2019,26
05-03-2019,37
,
06-03-2019,32.9
07-03-2019,43.2
08-03-2019,56.8
09-03-2019,14.5
10-03-2019,23.6
11-03-2019,43.9
12-03-2019,54.55
,
13-03-2019,43
14-03-2019,23.6
15-03-2019,34
16-03-2019,14
17-03-2019,25
18-03-2019,24.7
19-03-2019,45
20-03-2019,65
21-03-2019,23.8
22-03-2019,24
23-03-2019,43
24-03-2019,34
25-03-2019,23.5
26-03-2019,28
27-03-2019,13
28-03-2019,13.7
29-03-2019,24.6
30-03-2019,54
