DAY,PLASTIC WASTE(Kg),FOOD WASTE(Kg)

WEEK 1,,
1-Feb-2019,,276
2-Feb-2019,,237
3-Feb-2019,,279.5
4-Feb-2019,,267.75
5-Feb-2019,,173
6-Feb-2019,,183
7-Feb-2019,,186
,,,
WEEK 2,,
8-Feb-2019,,239
9-Feb-2019,,169
10-Feb-2019,,215
11-Feb-2019,,264.5
12-Feb-2019,,147
13-Feb-2019,,123
14-Feb-2019,,123
,,,
WEEK 3,,
15-Feb-2019,,112
16-Feb-2019,,15
17-Feb-2019,,159
18-Feb-2019,,155.5
19-Feb-2019,,31
20-Feb-2019,,209
21-Feb-2019,,12
,,,
WEEK 4,,
22-Feb-2019,,5.5
23-Feb-2019,,324
24-Feb-2019,,115
25-Feb-2019,,232
26-Feb-2019,,
27-Feb-2019,,183
28-Feb-2019,,124
,,,
,,,
,,,
WEEK 1,,
1-Mar-2019,,274
2-Mar-2019,,328
3-Mar-2019,,134.5
4-Mar-2019,,159
5-Mar-2019,,5
6-Mar-2019,,36.5
7-Mar-2019,,197.5
,,,
WEEK 2,,
8-Mar-2019,,190
9-Mar-2019,,346
10-Mar-2019,,15.5
11-Mar-2019,,252.5
12-Mar-2019,,
13-Mar-2019,,27.5
14-Mar-2019,,190.5
,,,
WEEK 3,,
15-Mar-2019,,27.5
16-Mar-2019,,304
17-Mar-2019,,157
18-Mar-2019,,339
19-Mar-2019,,139
20-Mar-2019,,141
21-Mar-2019,,167
,,,
WEEK 4,,
22-Mar-2019,,100
23-Mar-2019,,44.5
24-Mar-2019,,274
25-Mar-2019,,83
26-Mar-2019,,70
27-Mar-2019,,176.5
28-Mar-2019,,64
,,,
WEEK 5,,
29-Mar-2019,,67
30-Mar-2019,,125
31-Mar-2019,,150

WEEK 1,,
1-Apr-2019,,87
2-Apr-2019,,
3-Apr-2019,,86
4-Apr-2019,,187
5-Apr-2019,,106
6-Apr-2019,,170
7-Apr-2019,,93
,,,
WEEK 2,,
8-Apr-2019,,240
9-Apr-2019,,163
10-Apr-2019,,115
11-Apr-2019,,20
12-Apr-2019,,
13-Apr-2019,,19
14-Apr-2019,,
,,,
WEEK 3,,
15-Apr-2019,,40
16-Apr-2019,,30
17-Apr-2019,,29
18-Apr-2019,,28
19-Apr-2019,,19
20-Apr-2019,,28
21-Apr-2019,,7.5
,,,
WEEK 4,,
22-Apr-2019,,16
23-Apr-2019,,15
24-Apr-2019,,19
25-Apr-2019,,17
26-Apr-2019,,21
27-Apr-2019,,43.5
28-Apr-2019,,37
,,,
WEEK 5,,
29-Apr-2019,,14
30-Apr-2019,,14


WEEK 1,,
1-May-2019,,18
2-May-2019,,17.5
3-May-2019,,11
4-May-2019,,5
5-May-2019,,18
6-May-2019,,15
7-May-2019,,15.5
,,,
WEEK 2,,
8-May-2019,,53.5
9-May-2019,,13.5
10-May-2019,,11
11-May-2019,,33.5
12-May-2019,,5
13-May-2019,,4.5
14-May-2019,,23
,,,
WEEK 3,,
15-May-2019,,18
16-May-2019,,17
17-May-2019,,25
18-May-2019,,12
19-May-2019,,
20-May-2019,,23
21-May-2019,,
,,,
WEEK 4,,
22-May-2019,,24
23-May-2019,,20
24-May-2019,,10.5
25-May-2019,,
26-May-2019,,32
27-May-2019,,27
28-May-2019,,17
,,,
WEEK 5,,
29-May-2019,,23
30-May-2019,,5
31-May-2019,,20

WEEK 1,,
1-Jun-2019,,11
2-Jun-2019,,7
3-Jun-2019,,12
4-Jun-2019,,11
5-Jun-2019,,32.5
6-Jun-2019,,
7-Jun-2019,,10
,,,
WEEK 2,,
8-Jun-2019,,11.5
9-Jun-2019,,2
10-Jun-2019,,
11-Jun-2019,,
12-Jun-2019,,
13-Jun-2019,,
14-Jun-2019,,
,,,
WEEK 3,,
15-Jun-2019,,
16-Jun-2019,,
17-Jun-2019,,
18-Jun-2019,,
19-Jun-2019,,
20-Jun-2019,,
21-Jun-2019,,
,,,
WEEK 4,,
22-Jun-2019,,
23-Jun-2019,,
24-Jun-2019,,
25-Jun-2019,,
26-Jun-2019,,
27-Jun-2019,,
28-Jun-2019,,
,,,
WEEK 5,,
29-Jun-2019,,
30-Jun-2019,,
