Date,Waste generated (kg)
09-04-2019,7.5
10-04-2019,18
11-04-2019,10.5
12-04-2019,10.5
13-04-2019,14
14-04-2019,20
15-04-2019,0
16-04-2019,13.5
17-04-2019,14.5
18-04-2019,24
19-04-2019,6
20-04-2019,20
21-04-2019,6
22-04-2019,10.5
23-04-2019,4
24-04-2019,10
25-04-2019,15
26-04-2019,19.5
27-04-2019,7.5
28-04-2019,8.5
29-04-2019,11
30-04-2019,14
01-05-2019,7.5
02-05-2019,9.5
03-05-2019,14.5
04-05-2019,9
05-05-2019,7
06-05-2019,9
07-05-2019,11
08-05-2019,8.5
09-05-2019,7.5
10-05-2019,14
11-05-2019,10
12-05-2019,8
13-05-2019,14
14-05-2019,4
15-05-2019,11.5
16-05-2019,9.5
17-05-2019,4.5
18-05-2019,11
19-05-2019,7
20-05-2019,11.5
21-05-2019,16
22-05-2019,19.5
23-05-2019,7
24-05-2019,10
25-05-2019,19.5
26-05-2019,12
27-05-2019,22.5
28-05-2019,23
29-05-2019,8
30-05-2019,10
31-05-2019,14.5
,
,
,
