WEEKS,DAY,KG OF FOOD WASTE,KG OF PLASTIC WASTE
WEEK 1,3/31/2019,7,4
,4/1/2019,9,2
,4/2/2019,24,10
,4/3/2019,38,6
,4/4/2019,18,2
,4/5/2019,38,0
,4/6/2019,22,3
TOTAL,,156,27
WEEK 2,4/7/2019,21,9
,4/8/2019,14,6
,4/9/2019,11,11
,4/10/2019,23,0
,4/11/2019,16,2
,4/12/2019,2,1
,4/13/2019,16,9
TOTAL,,103,38
WEEK 3,4/14/2019,41,5
,4/15/2019,19,0
,4/16/2019,22,6
,4/17/2019,34,2
,4/18/2019,22,3
,4/19/2019,18,5
,4/20/2019,18,6
TOTAL,,174,27
WEEK 4,4/21/2019,4,3
,4/22/2019,12,11
,4/23/2019,20,3
,4/24/2019,20,8
,4/25/2019,35,2
,4/26/2019,27,5
,4/27/2019,11,8
TOTAL,,129,40
WEEK 5,4/28/2019,14,7
,4/29/2019,28,3
,4/30/2019,11,18
,5/1/2019,16,8
,5/2/2019,16,0
,5/3/2019,19,1
,5/4/2019,14,7
TOTAL,,118,44
WEEK 6,5/5/2019,11,11
,5/6/2019,15,5
,5/7/2019,8,8
,5/8/2019,6,9
,5/9/2019,21,4
,5/10/2019,11,4
,5/11/2019,10,9
TOTAL,,82,50
WEEK 7,5/12/2019,9,4
,5/13/2019,15,6
,5/14/2019,10,6
,5/15/2019,28,7
,5/16/2019,15,8
,5/17/2019,21,9
,5/18/2019,22,4
TOTAL,,120,44
WEEK 8,5/19/2019,19,7
,5/20/2019,25,3
,5/21/2019,12,1
,5/22/2019,12,0
,5/23/2019,14,1
,5/24/2019,15,4
,5/25/2019,16,0
TOTAL,,113,16
WEEK 9,5/26/2019,0,1
,5/27/2019,5,3
,5/28/2019,1,5
,5/29/2019,0,6
,5/30/2019,19,5
,5/31/2019,15,7
,6/1/2019,5,0
TOTAL,,45,27
