WEEKS,DAY,KG OF FOOD WASTE,KG OF PLASTIC WASTE
WEEK 1,12/30/2018,40,6
,12/31/2018,38,6
,1/1/2019,22,1
,1/2/2019,28,0
,1/3/2019,20,0
,1/4/2019,0,0
,1/5/2019,35,0
TOTAL,,183,13
WEEK 2,1/6/2019,41,5
,1/7/2019,0,0
,1/8/2019,0,0
,1/9/2019,38,5
,1/10/2019,47,4
,1/11/2019,47,5
,1/12/2019,41,6
TOTAL,,214,25
WEEK 3,1/13/2019,49,8
,1/14/2019,40,5
,1/15/2019,49,9
,1/16/2019,42,3
,1/17/2019,49,5
,1/18/2019,33,1
,1/19/2019,51,4
TOTAL,,313,35
WEEK 4,1/20/2019,45,7
,1/21/2019,44,7
,1/22/2019,44,2
,1/23/2019,43,7
,1/24/2019,30,0
,1/25/2019,42,4
,1/26/2019,21,0
TOTAL,,269,27
WEEK 5,1/27/2019,45,7
,1/28/2019,25,0
,1/29/2019,49,10
,1/30/2019,28,0
,1/31/2019,42,0
,2/1/2019,25,0
,2/2/2019,45,6
TOTAL,,259,23
WEEK 6,2/3/2019,,
,2/4/2019,39,8
,2/5/2019,,
,2/6/2019,41,3
,2/7/2019,45,0
,2/8/2019,39,5
,2/9/2019,25,0
TOTAL,,189,16
WEEK 7,2/10/2019,43,2
,2/11/2019,34,6
,2/12/2019,44,5
,2/13/2019,42,12
,2/14/2019,25,8
,2/15/2019,26,0
,2/16/2019,47,5
TOTAL,,59,8
WEEK 8,2/17/2019,31,0
,2/18/2019,33,0
,2/19/2019,37,5
,2/20/2019,40,5
,2/21/2019,0,0
,2/22/2019,20,29
,2/23/2019,40,10
TOTAL,,201,49
WEEK 9,2/24/2019,28,9
,2/25/2019,36,10
,2/26/2019,26,12
,2/27/2019,42,5
,2/28/2019,31,16
,3/1/2019,44,6
,3/2/2019,8,0
TOTAL,,215,58
WEEK 10,3/3/2019,46,5
,3/4/2019,20,0
,3/5/2019,40,6
,3/6/2019,22,0
,3/7/2019,44,6
,3/8/2019,30,0
,3/9/2019,43,5
TOTAL,,245,22
WEEK 11,3/10/2019,29,17
,3/11/2019,31,23
,3/12/2019,53,6
,3/13/2019,17,16
,3/14/2019,42,3
,3/15/2019,44,4
,3/16/2019,37,4
TOTAL,,253,73
WEEK 12,3/17/2019,42,8
,3/18/2019,17,0
,3/19/2019,27,9
,3/20/2019,0,0
,3/21/2019,25,9
,3/22/2019,41,5
,3/23/2019,39,7
TOTAL,,191,38
WEEK 13,3/24/2019,43,8
,3/25/2019,29,19
,3/26/2019,22,26
,3/27/2019,26,25
,3/28/2019,38,38
,3/29/2019,47,7
,3/30/2019,46,14
TOTAL,,251,137
WEEK 14,3/31/2019,0,0
,4/1/2019,0,0
,4/2/2019,46,10
,4/3/2019,0,0
,4/4/2019,45,6
,4/5/2019,0,0
,4/6/2019,3,0
TOTAL,,94,16
WEEK 15,4/7/2019,0,0
,4/8/2019,42,6
,4/9/2019,0,0
,4/10/2019,0,0
,4/11/2019,11,1
,4/12/2019,37,0
,4/13/2019,0,0
TOTAL,,90,7
WEEK 16,4/14/2019,24,0
,4/15/2019,0,0
,4/16/2019,8,0
,4/17/2019,0,0
,4/18/2019,0,0
,4/19/2019,0,0
,4/20/2019,0,0
TOTAL,,32,0
WEEK 17,4/21/2019,,
,4/22/2019,,
,4/23/2019,,
,4/24/2019,,
,4/25/2019,,
,4/26/2019,,
,4/27/2019,,
TOTAL,,0,0
WEEK 18,4/28/2019,,
,4/29/2019,,
,4/30/2019,,
,5/1/2019,,
,5/2/2019,,
,5/3/2019,,
,5/4/2019,,
TOTAL,,0,0
WEEK 19,5/5/2019,,
,5/6/2019,,
,5/7/2019,,
,5/8/2019,,
,5/9/2019,,
,5/10/2019,,
,5/11/2019,,
TOTAL,,0,0
WEEK 20,5/12/2019,,
,5/13/2019,,
,5/14/2019,,
,5/15/2019,,
,5/16/2019,,
,5/17/2019,14,0
,5/18/2019,,
TOTAL,,14,0
WEEK 21,5/19/2019,,
,5/20/2019,,
,5/21/2019,,
,5/22/2019,,
,5/23/2019,20,1
,5/24/2019,,
,5/25/2019,,
TOTAL,,20,1
WEEK 22,5/26/2019,,
,5/27/2019,,
,5/28/2019,,
,5/29/2019,,
,5/30/2019,,
,5/31/2019,,
,6/1/2019,,
TOTAL,,0,0
