Date,Waste generated (kg)
,
18-12-2018,28.5
19-12-2018,27.5
20-12-2018,31
21-12-2018,36
22-12-2018,23
,
,
24-12-2018,41.5
25-12-2018,
26-12-2018,54
27-12-2018,
28-12-2018,42
29-12-2018,43.5
,
,
31-12-2018,32
01-01-2019,52.5
02-01-2019,
03-01-2019,57
04-01-2019,53.5
05-01-2019,61
06-01-2019,46.5
,
,
07-01-2019,52.5
08-01-2019,
09-01-2019,29.5
10-01-2019,89
11-01-2019,61
12-01-2019,68
13-01-2019,34
,
,
14-01-2019,95.5
15-01-2019,69
16-01-2019,84
17-01-2019,75.5
18-01-2019,58.5
19-01-2019,59.5
20-01-2019,42.5
,
,
21-01-2019,32
22-01-2019,56.5
23-01-2019,65
24-01-2019,52.5
25-01-2019,38.5
26-01-2019,
27-01-2019,12.5
,
,
28-01-2019,95.5
29-01-2019,59.5
30-01-2019,41
31-01-2019,75
01-02-2019,38
02-02-2019,66
03-02-2019,28
,
,
04-02-2019,45
05-02-2019,20
06-02-2019,59
07-02-2019,44
08-02-2019,60
09-02-2019,45.5
10-02-2019,50
,
,
11-02-2019,47.5
12-02-2019,51
13-02-2019,62.5
14-02-2019,31.5
15-02-2019,23
16-02-2019,24
17-02-2019,1
,
,
18-02-2019,
19-02-2019,
20-02-2019,
21-02-2019,
22-02-2019,43
23-02-2019,26.5
24-02-2019,11
,
,
25-02-2019,19
26-02-2019,17
27-02-2019,23
28-02-2019,22
01-03-2019,37.5
02-03-2019,30
03-03-2019,18
,
,
04-03-2019,34.5
05-03-2019,39.5
06-03-2019,30
07-03-2019,53
08-03-2019,41.5
09-03-2019,25
10-03-2019,48.5
,
,
11-03-2019,22.5
12-03-2019,30
13-03-2019,28.5
14-03-2019,25
15-03-2019,19.5
16-03-2019,
17-03-2019,23
,
,
18-03-2019,15.5
19-03-2019,25.5
20-03-2019,
21-03-2019,37
22-03-2019,25
23-03-2019,1
24-03-2019,
,
,
25-03-2019,
26-03-2019,30
27-03-2019,22.5
28-03-2019,
29-03-2019,
30-03-2019,
31-03-2019,
,
,
01-04-2019,6
02-04-2019,
03-04-2019,
04-04-2019,14
05-04-2019,
06-04-2019,18
07-04-2019,20
,
,
08-04-2019,22
09-04-2019,
10-04-2019,
11-04-2019,47.5
12-04-2019,
13-04-2019,26
14-04-2019,
,
,
15-04-2019,
16-04-2019,51
17-04-2019,
18-04-2019,
19-04-2019,
20-04-2019,34
21-04-2019,21.5
,
,
22-04-2019,
23-04-2019,
24-04-2019,
25-04-2019,22
26-04-2019,22
27-04-2019,
28-04-2019,
,
,
29-04-2019,
30-04-2019,
01-05-2019,
02-05-2019,
03-05-2019,
04-05-2019,
05-05-2019,
,
,
06-05-2019,19
07-05-2019,
08-05-2019,
09-05-2019,
10-05-2019,
11-05-2019,5
12-05-2019,
,
,
13-05-2019,
14-05-2019,
15-05-2019,
16-05-2019,
17-05-2019,
18-05-2019,
19-05-2019,
,
,
20-05-2019,
21-05-2019,6
22-05-2019,11.5
23-05-2019,45
24-05-2019,31
25-05-2019,35
26-05-2019,30
,
,
27-05-2019,50
28-05-2019,48
29-05-2019,33
30-05-2019,25
31-05-2019,41.5
01-06-2019,22.5
02-06-2019,26
,
,
03-06-2019,36
04-06-2019,14
05-06-2019,6
06-06-2019,40
07-06-2019,26
08-06-2019,41
09-06-2019,37
,
,
10-06-2019,13.5
11-06-2019,23
12-06-2019,30
13-06-2019,38
14-06-2019,38.5
15-06-2019,26
