Date,No of Persons,Food waste generated(kg),Plastic waste generated (kg)
19/12/2018,21,23,3
20/12/2018,30,41,2
21/12/2018,19,19,1
22/12/2018,15,89,0
23/12/2018,21,24,2
24/12/2018,21,28,1
25/12/2018,4,11,0
26/12/2018,18,29,1
27/12/2018,5,10,0
28/12/2018,21,24,0
29/12/2018,19,19,0
30/12/2018,17,38,0
31/12/2018,20,25,2
,,,
1/1/2019,17,31,1
2/1/2019,16,29,0
3/1/2019,19,31,1
4/1/2019,15,26,3
5/1/2019,8,11,0
6/1/2019,23,39,3
8/1/2019,19,24,1
11/1/2019,16,20,1
19/1/2019,18,18,1
20/1/2019,20,33,1
22/1/2019,21,34,1
23/1/2019,19,30,2
29/1/2019,21,38,2
30/1/2019,21,46,0
,,,
1/2/2019,26,59,5
2/2/2019,20,39,2
3/2/2019,12,31,4
4/2/2019,20,42,2
5/2/2019,18,37,4
17/2/2019,20,60,9
19/2/2019,12,22,1
23/2/2019,19,48,6
24/2/2019,20,40,2
26/2/2019,23,42,8
28/2/2019,21,48,3
,,,
2/3/2019,18,49,6
3/3/2019,18,32,0
10/3/2019,49,104,18
11/3/2019,24,55,14
16/3/2019,7,20,0
17/3/2019,14,11,1
23/3/2019,19,60,8
24/3/2019,27,43,0
25/3/2019,24,65,3
26/3/2019,23,54,2
27/3/2019,22,31,0
28/3/2019,13,35,7
29/3/2019,11,21,1
30/3/2019,24,43,8
31/3/2019,17,36,7
,,,
5/4/2019,18,31,0
6/4/2019,17,47,5
7/4/2019,7,10,0
8/4/2019,11,15,17
9/4/2019,14,12,2
10/4/2019,15,27,16
11/4/2019,17,33,4
12/4/2019,22,40,8
13/4/2019,11,21,1
14/4/2019,19,39,3
15/4/2019,8,15,1
19/4/2019,13,19,1
20/4/2019,9,23,2
21/4/2019,17,40,7
22/4/2019,11,31,0
25/4/2019,12,15,1
26/4/2019,19,42,10
27/4/2019,7,11,0
28/4/2019,18,41,9
,,,
,,,
5/5/2019,11,22,6
6/5/2019,13,27,14
7/5/2019,17,34,7
8/5/2019,20,45,34
9/5/2019,13,25,9
10/5/2019,3,8,0
11/5/2019,11,22,4
12/5/2019,11,31,25
13/5/2019,9,21,
14/5/2019,9,12,6
15/5/2019,7,11,7
16/5/2019,9,20,0
17/5/2019,8,18,0
18/5/2019,7,14,5
19/5/2019,11,20,1
20/5/2019,8,21,1
21/5/2019,11,24,0
22/5/2019,12,33,2
23/5/2019,6,14,0
24/5/2019,8,17,1
25/5/2019,16,65,0
26/5/2019,15,36,1
27/5/2019,21,33,2
28/5/2019,13,34,1
29/5/2019,20,56,1
30/5/2019,20,58,0
31/5/2019,15,50,0
,,,
,,,
