Day ,Plastic Waste(kg),Food Waste(Kg)
WEEK1,,
18-12-18,,28.5
19-12-18,,27.5
20-12-18,0.25,31
21-12-18,,36
22-12-18,3.55,23
Week Total,3.8,146
WEEK 2,,
24-12-18,2.5,41.5
25-12-18,,
26-12-18,2.53,54
27-12-18,,
28-12-18,2.5,42
29-12-18,0.5,43.5
Week Total,8.03,181
WEEK 3,,
31-12-18,0.85,32
01-01-19,0.35,52.5
02-01-19,,
03-01-19,3.28,57
04-01-19,0.95,53.5
05-01-19,5.75,61
6/1/2.19,5.35,46.5
Week Total,16.53,302.5
WEEK 4,,
07-01-19,1.95,52.5
08-01-19,,
09-01-19,0.75,29.5
10-01-19,3.75,89
11-01-19,3.52,61
12-01-19,1.9,68
13-01-19,1.53,34
Week Total,13.4,334
WEEK 5,,
14-01-19,3.05,95.5
15-01-19,4.4,69
16-01-19,4.15,84
17-01-19,3,75.5
18-01-19,4,58.5
19-01-19,1.25,59.5
20-01-19,0.1,42.5
Week Total,19.95,484.5
WEEK 6,,
21-01-19,1.1,32
22-01-19,1,56.5
23-01-19,1.1,65
24-01-19,1.25,52.5
25-01-19,1.2,38.5
26-01-19,,
27-01-19,0.5,12.5
Week Total,6.15,257
WEEK 7,,
28-01-19,6.4,95.5
29-01-19,1.35,59.5
30-01-19,,41
31-01-19,2.15,75
01-02-19,0.7,38
02-02-19,2.3,66
03-02-19,0.9,28
Week Total,13.8,403
WEEK 8,,
04-02-19,1.1,45
05-02-19,0.3,20
06-02-19,1.8,59
07-02-19,0.4,44
08-02-19,1.7,60
09-02-19,1.6,45.5
10-02-19,2,50
Week Total,8.9,323.5
WEEK 9,,
11-02-19,1.3,47.5
12-02-19,0.8,51
13-02-19,1.9,62.5
14-02-19,1.5,31.5
15-02-19,0.2,23
16-02-19,1.2,24
17-02-19,,1
Week Total,6.9,240.5
WEEK 10,,
18-02-19,,
19-02-19,,
20-02-19,,
21-02-19,,
22-02-19,1.1,43
23-02-19,1.2,26.5
24-02-19,1.2,11
Week Total,3.5,80.5
WEEK 11,,
25-02-19,1.2,19
26-02-19,0.6,17
27-02-19,0.5,23
28-02-19,0.7,22
01-03-19,1.5,37.5
02-03-19,0.85,30
03-03-19,0.4,18
Week Total,5.75,166.5
WEEK 12,,
04-03-19,0.9,34.5
05-03-19,1.05,39.5
06-03-19,0.6,30
07-03-19,1.05,53
08-03-19,0.85,41.5
09-03-19,0.45,25
10-03-19,2.1,48.5
Week Total,7,272
WEEK 13,,
11-03-19,0.85,22.5
12-03-19,1.35,30
13-03-19,0.7,28.5
14-03-19,1.45,25
15-03-19,0.25,19.5
16-03-19,,
17-03-19,0.55,23
Week Total,5.15,148.5
WEEK 14,,
18-03-19,0.45,15.5
19-03-19,0.8,25.5
20-03-19,,
21-03-19,1.25,37
22-03-19,0.4,25
23-03-19,0.1,1
24-03-19,,
Week Total,3,104
WEEK 15,,
25-03-19,,
26-03-19,1.45,30
27-03-19,1.05,22.5
28-03-19,,
29-03-19,,
30-03-19,,
31-03-19,,
Week Total,2.5,52.5
WEEK 16,,
01-04-19,0.45,6
02-04-19,,
03-04-19,,
04-04-19,0.1,14
05-04-19,3,
06-04-19,1.25,18
07-04-19,0.85,20
Week Total,5.65,58
WEEK 17,,
08-04-19,0.8,22
09-04-19,,
10-04-19,,
11-04-19,1.5,47.5
12-04-19,,
13-04-19,1.15,26
14-04-19,,
Week Total,3.45,95.5
WEEk 18,,
15-04-19,,
16-04-19,0.6,51
17-04-19,,
18-04-19,,
19-04-19,,
20-04-19,1.8,34
21-04-19,0.5,21.5
Week Total,2.9,106.5
WEEK 19,,
22-04-19,,
23-04-19,,
24-04-19,,
25-04-19,1.4,22
26-04-19,0.45,22
27-04-19,0.2,
28-04-19,,
Week Total,2.05,44
WEEK 20,,
29-04-19,,
30-04-19,,
01-05-19,,
02-05-19,,
03-05-19,,
04-05-19,,
05-05-19,,
Week Total,0,0
WEEK 21,,
06-05-19,0.6,19
07-05-19,0.1,
08-05-19,,
09-05-19,,
10-05-19,,
11-05-19,0.1,5
12-05-19,,
Week Total,0.8,24
WEEK 22,,
13-05-19,,
14-05-19,,
15-05-19,,
16-05-19,,
17-05-19,,
18-05-19,,
19-05-19,,
Week Total,0,0
WEEK 23,,
20-05-19,,
21-05-19,0.05,6
22-05-19,0.05,11.5
23-05-19,,45
24-05-19,,31
25-05-19,0.25,35
26-05-19,1.2,30
Week Total,1.55,158.5
WEEK 24,,
27-05-19,2.6,50
28-05-19,2.5,48
29-05-19,0.5,33
30-05-19,1.9,25
31-05-19,,41.5
01-06-19,,22.5
02-06-19,,26
Week Total,7.5,246
WEEkK 25,,
03-06-19,,36
04-06-19,,14
05-06-19,,6
06-06-19,,40
07-06-19,,26
08-06-19,,41
09-06-19,1,37
Week Total,1,200
WEEK 26,,
10-06-19,,13.5
11-06-19,,23
12-06-19,,30
13-06-19,,38
14-06-19,,38.5
15-06-19,17,26
Week Total,17,169
