DAY,PLASTIC WASTE(Kg),FOOD WASTE(Kg)
,,
WEEK 1,,
1-Feb-2018,1,
2-Feb-2018,,
3-Feb-2018,4,
4-Feb-2018,,
5-Feb-2018,3,
6-Feb-2018,1,
7-Feb-2018,2,
,,
WEEK 2,,
8-Feb-2018,1,
9-Feb-2018,5,
10-Feb-2018,,
11-Feb-2018,,
12-Feb-2018,6,
13-Feb-2018,4,
14-Feb-2018,10,
,,
WEEK 3,,
15-Feb-2018,2,
16-Feb-2018,4,
17-Feb-2018,10,
18-Feb-2018,5,
19-Feb-2018,,
20-Feb-2018,,
21-Feb-2018,,
,,
WEEK 4,,
22-Feb-2018,91,
23-Feb-2018,,
24-Feb-2018,,
25-Feb-2018,,
26-Feb-2018,,
27-Feb-2018,,
28-Feb-2018,,
,,
,,
,,
WEEK 1,,
1-Mar-2018,3,
2-Mar-2018,,
3-Mar-2018,,
4-Mar-2018,13,
5-Mar-2018,,
6-Mar-2018,1,
7-Mar-2018,2,
,,
WEEK 2,,
8-Mar-2018,,
9-Mar-2018,3,
10-Mar-2018,7,
11-Mar-2018,,
12-Mar-2018,5,
13-Mar-2018,4,
14-Mar-2018,1,
,,
WEEK 3,,
15-Mar-2018,,
16-Mar-2018,1,
17-Mar-2018,7,
18-Mar-2018,,
19-Mar-2018,,
20-Mar-2018,,
21-Mar-2018,2,
,,
WEEK 4,,
22-Mar-2018,3,
23-Mar-2018,1,
24-Mar-2018,5,
25-Mar-2018,1,
26-Mar-2018,3,
27-Mar-2018,4,
28-Mar-2018,3,
,,
WEEK 5,,
29-Mar-2018,5,
30-Mar-2018,,
31-Mar-2018,,
,,
WEEK 1,,
1-Apr-2018,2,
2-Apr-2018,,
3-Apr-2018,0.5,
4-Apr-2018,3,
5-Apr-2018,,
6-Apr-2018,11,
7-Apr-2018,2,
,,
WEEK 2,,
8-Apr-2018,,
9-Apr-2018,2,
10-Apr-2018,3,
11-Apr-2018,,
12-Apr-2018,3,
13-Apr-2018,1.5,
14-Apr-2018,5,
,,
WEEK 3,,
15-Apr-2018,,
16-Apr-2018,,
17-Apr-2018,1,
18-Apr-2018,11,
19-Apr-2018,,
20-Apr-2018,3.5,
21-Apr-2018,3,
,,
WEEK 4,,
22-Apr-2018,7,
23-Apr-2018,0.2,
24-Apr-2018,4,
25-Apr-2018,,
26-Apr-2018,,
27-Apr-2018,,
28-Apr-2018,1,
,,
WEEK 5,,
29-Apr-2018,4,
30-Apr-2018,8,
,,
,,
WEEK 1,,
1-May-2018,,
2-May-2018,,
3-May-2018,,
4-May-2018,10,1
5-May-2018,,1
6-May-2018,,
7-May-2018,,1
,,
WEEK 2,,
8-May-2018,,1
9-May-2018,,
10-May-2018,3,
11-May-2018,23,
12-May-2018,4,
13-May-2018,1,1
14-May-2018,3,
,,
WEEK 3,,
15-May-2018,22,
16-May-2018,11,
17-May-2018,,1
18-May-2018,4,
19-May-2018,2,
20-May-2018,4.5,
21-May-2018,,
,,
WEEK 4,,
22-May-2018,1.5,1
23-May-2018,6,
24-May-2018,2,
25-May-2018,,1
26-May-2018,5,
27-May-2018,,
28-May-2018,9,
,,
WEEK 5,,
29-May-2018,,1
30-May-2018,,
31-May-2018,1,
,,
WEEK 1,,
1-Jun-2018,1.5,2
2-Jun-2018,3,
3-Jun-2018,7,
4-Jun-2018,2,
5-Jun-2018,5,
6-Jun-2018,3.5,1
7-Jun-2018,7,
,,
WEEK 2,,
8-Jun-2018,,
9-Jun-2018,,
10-Jun-2018,3,
11-Jun-2018,29,3
12-Jun-2018,,
13-Jun-2018,1,
14-Jun-2018,4,1
,,
WEEK 3,,
15-Jun-2018,1,
16-Jun-2018,1,
17-Jun-2018,1,1
18-Jun-2018,,
19-Jun-2018,2,
20-Jun-2018,41,
21-Jun-2018,1,
,,
WEEK 4,,
22-Jun-2018,,
23-Jun-2018,12.5,0.5
24-Jun-2018,,
25-Jun-2018,2.25,2
26-Jun-2018,,1
27-Jun-2018,4,
28-Jun-2018,1,
,,
WEEK 5,,
29-Jun-2018,2,
30-Jun-2018,5,
,,
,,
WEEK 1,,
1-Jul-2018,2.5,
2-Jul-2018,7,1.5
3-Jul-2018,,
4-Jul-2018,5,
5-Jul-2018,4,1
6-Jul-2018,1,
7-Jul-2018,13,
,,
WEEK 2,,
8-Jul-2018,1,
9-Jul-2018,,2
10-Jul-2018,,2
11-Jul-2018,5,
12-Jul-2018,,
13-Jul-2018,2.5,1
14-Jul-2018,2,2
,,
WEEK 3,,
15-Jul-2018,3,2
16-Jul-2018,14,
17-Jul-2018,12,
18-Jul-2018,2,1
19-Jul-2018,,
20-Jul-2018,,
21-Jul-2018,,
,,
WEEK 4,,
22-Jul-2018,,
23-Jul-2018,,
24-Jul-2018,,1
25-Jul-2018,,
26-Jul-2018,,
27-Jul-2018,,
28-Jul-2018,,
,,
WEEK 5,,
29-Jul-2018,,
30-Jul-2018,,
31-Jul-2018,,2
,,
,,
WEEK 1,,
1-Aug-2018,,1
2-Aug-2018,,1
3-Aug-2018,,1
4-Aug-2018,,2
5-Aug-2018,,
6-Aug-2018,,
7-Aug-2018,,2
,,
WEEK 2,,
8-Aug-2018,,
9-Aug-2018,,
10-Aug-2018,,
11-Aug-2018,,2
12-Aug-2018,,
13-Aug-2018,,1
14-Aug-2018,,
,,
WEEK 3,,
15-Aug-2018,,
16-Aug-2018,,2
17-Aug-2018,,11
18-Aug-2018,,1.4
19-Aug-2018,,
20-Aug-2018,,
21-Aug-2018,,2
,,
WEEK 4,,
22-Aug-2018,,
23-Aug-2018,,3
24-Aug-2018,,1
25-Aug-2018,,
26-Aug-2018,,
27-Aug-2018,,
28-Aug-2018,,
,,
WEEK 5,,
29-Aug-2018,,
30-Aug-2018,,
31-Aug-2018,,2
,,
,,
WEEK 1,,
1-Sep-2018,,
2-Sep-2018,,1
3-Sep-2018,,
4-Sep-2018,,2
5-Sep-2018,,1
6-Sep-2018,,2
7-Sep-2018,,
,,
WEEK 2,,
8-Sep-2018,,
9-Sep-2018,,1
10-Sep-2018,,
11-Sep-2018,,3
12-Sep-2018,,
13-Sep-2018,,1
14-Sep-2018,,4
,,
WEEK 3,,
15-Sep-2018,,1
16-Sep-2018,,
17-Sep-2018,,
18-Sep-2018,,
19-Sep-2018,,4
20-Sep-2018,,
21-Sep-2018,,
,,
WEEK 4,,
22-Sep-2018,,1
23-Sep-2018,,
24-Sep-2018,,
25-Sep-2018,,
26-Sep-2018,,
27-Sep-2018,,1
28-Sep-2018,,
,,
WEEK 5,,
29-Sep-2018,,
30-Sep-2018,,
,,
,,
WEEK 1,,
1-Oct-2018,,1
2-Oct-2018,,
3-Oct-2018,,2
4-Oct-2018,,
5-Oct-2018,,
6-Oct-2018,,
7-Oct-2018,,
,,
WEEK 2,,
8-Oct-2018,,1
9-Oct-2018,,
10-Oct-2018,,1
11-Oct-2018,,
12-Oct-2018,,
13-Oct-2018,,
14-Oct-2018,,
,,
WEEK 3,,
15-Oct-2018,,1
16-Oct-2018,,1
17-Oct-2018,,
18-Oct-2018,,
19-Oct-2018,,
20-Oct-2018,,
21-Oct-2018,,1
,,
WEEK 4,,
22-Oct-2018,,
23-Oct-2018,,
24-Oct-2018,,
25-Oct-2018,,
26-Oct-2018,,3
27-Oct-2018,,
28-Oct-2018,,
,,
WEEK 5,,
29-Oct-2018,,
30-Oct-2018,,
31-Oct-2018,,
,,
,,
WEEK 1,,
1-Nov-2018,,
2-Nov-2018,,1
3-Nov-2018,,
4-Nov-2018,,
5-Nov-2018,,
6-Nov-2018,,
7-Nov-2018,,1
,,
WEEK 2,,
8-Nov-2018,,
9-Nov-2018,,
10-Nov-2018,,
11-Nov-2018,,
12-Nov-2018,,
13-Nov-2018,,
14-Nov-2018,,
,,
WEEK 3,,
15-Nov-2018,,
16-Nov-2018,,
17-Nov-2018,,
18-Nov-2018,,
19-Nov-2018,,1
