Date,Waste generated (kg),IN-Flow(Kg),OUT-Flow(Kg)
17-02-18,7.5,,0
18-02-18,11.5,,0
19-02-18,4.25,,0
20-02-18,12,,0
21-02-18,5.5,,0
22-02-18,12,,0
23-02-18,14,66.75,46.725
24-02-18,23,,0
25-02-18,15,,0
26-02-18,14,,0
27-02-18,15,,0
28-02-18,19,,0
01-03-18,6.5,,0
02-03-18,,92.5,64.75
03-03-18,32,,0
04-03-18,10,,0
05-03-18,16,,0
06-03-18,5.5,,0
07-03-18,17,,0
08-03-18,11.5,,0
09-03-18,16,108,75.6
10-03-18,25,,0
11-03-18,9,,0
12-03-18,21,,0
13-03-18,15,,0
14-03-18,21,,0
15-03-18,12,,0
16-03-18,27,130,91
17-03-18,22,,0
18-03-18,9.5,,0
19-03-18,14,,0
20-03-18,27,,0
21-03-18,14,,0
22-03-18,10,,0
23-03-18,25,97,67.9
24-03-18,10,,0
25-03-18,7,,0
26-03-18,21,,0
27-03-18,20.5,,0
28-03-18,8.5,,0
29-03-18,16,,0
30-03-18,7,90,63
31-03-18,11,,0
01-04-18,9,,0
02-04-18,5,,0
03-04-18,30.5,,0
04-04-18,19.5,,0
05-04-18,13.5,,0
06-04-18,21.5,110,77
07-04-18,30.5,,0
08-04-18,5,,0
09-04-18,21,,0
10-04-18,27,,0
11-04-18,14.5,,0
12-04-18,10.5,,0
13-04-18,11.5,120,84
14-04-18,10,,0
15-04-18,,,0
16-04-18,8.5,,0
17-04-18,11,,0
18-04-18,5.5,,0
19-04-18,,,0
20-04-18,19,54,37.8
21-04-18,21,,0
22-04-18,9,,0
23-04-18,18,,0
24-04-18,,,0
25-04-18,4.25,,0
26-04-18,3,,0
27-04-18,12,67.25,47.075
28-04-18,,,0
29-04-18,4.5,,0
30-04-18,9,,0
01-05-18,,,0
02-05-18,,,0
03-05-18,14,,0
04-05-18,,27.5,19.25
05-05-18,,,0
06-05-18,17,,0
07-05-18,,,0
08-05-18,,,0
09-05-18,,,0
10-05-18,,,0
11-05-18,8.75,25.75,18.025
12-05-18,2.5,,0
13-05-18,8.5,,0
14-05-18,4,,0
15-05-18,,,0
16-05-18,5,,0
17-05-18,1.5,,0
18-05-18,,21.5,15.05
19-05-18,21.5,,0
20-05-18,14.5,,0
21-05-18,,,0
22-05-18,,,0
23-05-18,3,,0
24-05-18,14,,0
25-05-18,,53,37.1
26-05-18,,,0
27-05-18,0.75,,0
28-05-18,,,0
29-05-18,,,0
30-05-18,,,0
31-05-18,2,,0
01-06-18,5,7.75,5.425
02-06-18,15,,0
03-06-18,2,,0
04-06-18,7,,0
05-06-18,0.5,,0
06-06-18,9,,0
07-06-18,8.5,,0
