Date,Waste generated (kg)
01-03-2019,21.5
02-03-2019,130
03-03-2019,58.5
04-03-2019,62
05-03-2019,33.5
06-03-2019,56
07-03-2019,38
08-03-2019,48.5
09-03-2019,56
10-03-2019,55
11-03-2019,84
12-03-2019,36
13-03-2019,34
14-03-2019,42
15-03-2019,35
16-03-2019,46
17-03-2019,39.5
18-03-2019,32
19-03-2019,45.5
20-03-2019,41.5
21-03-2019,36
22-03-2019,37.5
23-03-2019,35.5
24-03-2019,52
25-03-2019,40
26-03-2019,29.55
27-03-2019,34.5
28-03-2019,30
29-03-2019,32
30-03-2019,28
31-03-2019,35
01-04-2019,31.95
02-04-2019,26.5
03-04-2019,19.5
04-04-2019,31.5
05-04-2019,85.5
06-04-2019,59.8
07-04-2019,35
08-04-2019,42.5
09-04-2019,33.5
10-04-2019,27
11-04-2019,41
12-04-2019,44
13-04-2019,49
14-04-2019,31
15-04-2019,19
16-04-2019,51
17-04-2019,33
18-04-2019,17
19-04-2019,23
20-04-2019,56
21-04-2019,52
22-04-2019,69.5
23-04-2019,0
24-04-2019,61.5
25-04-2019,32
26-04-2019,48
27-04-2019,59.6
28-04-2019,54
29-04-2019,32
30-04-2019,38
01-05-2019,43
02-05-2019,75
03-05-2019,63.5
04-05-2019,74
05-05-2019,38
06-05-2019,67
07-05-2019,33
08-05-2019,52
09-05-2019,51
10-05-2019,68
11-05-2019,93.2
12-05-2019,87.5
13-05-2019,46
14-05-2019,71.5
15-05-2019,69
16-05-2019,56
17-05-2019,48.5
18-05-2019,70
19-05-2019,46
20-05-2019,68
21-05-2019,43
22-05-2019,52
23-05-2019,75
