Date,Waste generated (kg)
08-04-2019,344.5
09-04-2019,70.5
10-04-2019,147
11-04-2019,55
12-04-2019,104.5
13-04-2019,49.5
14-04-2019,113
15-04-2019,113.5
16-04-2019,288
17-04-2019,114
18-04-2019,305
19-04-2019,70.5
20-04-2019,371
21-04-2019,110
22-04-2019,717
23-04-2019,30
24-04-2019,383
25-04-2019,170
26-04-2019,550
27-04-2019,270
28-04-2019,55
29-04-2019,597.5
30-04-2019,250
01-05-2019,32.5
02-05-2019,235
03-05-2019,162
04-05-2019,181.5
05-05-2019,160.5
06-05-2019,342.5
07-05-2019,159
08-05-2019,189
09-05-2019,197.5
10-05-2019,187
11-05-2019,51.5
12-05-2019,32.5
13-05-2019,397.5
14-05-2019,395
15-05-2019,203.5
16-05-2019,146.5
17-05-2019,151.5
18-05-2019,303.5
19-05-2019,66.5
20-05-2019,326
21-05-2019,149
22-05-2019,201
23-05-2019,232.5
24-05-2019,241
25-05-2019,221
26-05-2019,253
27-05-2019,205
28-05-2019,285
29-05-2019,269
30-05-2019,249.5
31-05-2019,208.5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
