Date,Waste generated (kg)
29/3/2019,2.5
30/3/2019,5
1-4-2019,2.5
2-4-2019,8
3-4-2019,11.5
4-4-2019,4
5-4-2019,9.5
8-4-2019,2.25
10-4-2019,6
11-4-2019,6.5
13/4/2019,7
15/4/2019,14
16/4/2019,2
17/4/2019,2
19/4/2019,1
20/4/2019,4.75
21/4/2019,1
22/4/2019,8
24/4/2019,6
25/4/2019,2
26/4/2019,0.5
27/4/2019,4
29/4/2019,7.5
2-5-2019,4.5
3-5-2019,5
5-5-2019,6
6-5-2019,2.5
7-5-2019,6.5
8-5-2019,3
9-5-2019,5
10-5-2019,7
14/5/2019,76.5
15/5/2019,18
16/5/2019,19
17/5/2019,16
18/5/2019,20
20/5/2019,19.5
21/5/2019,19.5
22/5/2019,15
23/5/2019,13.5
24/5/2019,44.5
25/5/2019,16
26/5/2019,2
27/5/2019,1
22/5/2019,0.5
27/5/2019,1
28/5/2019,5.5
29/5/2019,4.5
30/5/2019,4.25
31/5/2019,6.5
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
