Date,Waste generated (kg)
19-03-2019,35
20-03-2019,20.5
21-03-2019,0
22-03-2019,28
23-03-2019,5
24-03-2019,31
25-03-2019,8
26-03-2019,40
27-03-2019,53
28-03-2019,0
29-03-2019,27
30-03-2019,0
31-03-2019,0
01-04-2019,39
02-04-2019,20
03-04-2019,17
04-04-2019,16
05-04-2019,24
06-04-2019,26
07-04-2019,0
08-04-2019,37
09-04-2019,22
10-04-2019,27
11-04-2019,21
12-04-2019,27
13-04-2019,0
14-04-2019,0
15-04-2019,13
16-04-2019,19
17-04-2019,15
18-04-2019,0
19-04-2019,0
20-04-2019,53
21-04-2019,0
22-04-2019,15
23-04-2019,0
24-04-2019,18
25-04-2019,39
26-04-2019,24
27-04-2019,24
28-04-2019,0
29-04-2019,26
30-04-2019,22
01-05-2019,0
02-05-2019,40
03-05-2019,19
04-05-2019,30
05-05-2019,0
06-05-2019,28
07-05-2019,12
08-05-2019,36
09-05-2019,38
10-05-2019,20
11-05-2019,0
12-05-2019,0
13-05-2019,40
14-05-2019,20
15-05-2019,21
16-05-2019,15
17-05-2019,17
18-05-2019,10
19-05-2019,0
20-05-2019,9
21-05-2019,21
22-05-2019,19
23-05-2019,11
24-05-2019,22
25-05-2019,16
26-05-2019,5
27-05-2019,20
28-05-2019,8
29-05-2019,22
30-05-2019,20
31-05-2019,18
