Date,Waste generated (kg),,,
22/10/17,92.5,,,
23/10/17,5,,,
25/10/17,5,,,
26/10/17,11,,,
28/10/17,3,,,
29/10/17,1.5,,,
18/11/17,5,,,
17/12/17,4,,,
23/12/17,9.5,,,
29/12/17,1,,,
20/10/17,34.5,,,
21/10/17,102,,,
22/10/17,92,,,
13/1/17,10,,,
14/1/17,1,,,
21/10/17,1.5,,,
22/10/17,14,,,
23/10/17,22,,,
24/10/17,5,,,
25/10/17,0,,,
26/10/17,8.5,,,
27/10/17,4.8,,,
28/10/17,9,,,
29/10/17,2,,,
30/10/17,3,,,
31/10/17,0.5,,,
1-11-17,5.3,,,
4-11-17,3.2,,,
20/9/17,5,,,
21/9/17,5.75,,,
22/9/17,9.2,,,
23/9/17,19,,,
24/9/17,2.2,,,
25/9/17,8,,,
26/9/17,2.1,,,
27/9/17,3.5,,,
28/7/17,0.4,,,
29/9/17,3.5,,,
1-10-17,6,,,
2-10-17,6.5,,,
3-10-17,0,,,
4-10-17,3,,,
5-10-17,2.5,,,
6-10-17,4.9,,,
7-10-17,10,,,
8-10-17,0,,,
9-10-17,4,,,
10-10-17,19.4,,,
11-10-17,1.1,,,
13/10/17,3.25,,,
14/10/17,7.5,,,
15/10/17,3,,,
16/10/17,2,,,
17/10/17,3,,,
18/10/17,4.5,,,
19/10/17,4,,,
20/10/17,13,,,
21/10/17,6.5,,,
29/1/18,3,,,
30/1/18,1,,,
31/1/18,7,,,
3-2-2018,5,,,
4-2-2018,3.5,,,
5-2-18,2,,,
6-2-18,2,,,
7-2-18,2,,,
8-2-18,2,,,
9-2-18,0.5,,,
10-2-18,5.5,,,
12-2-18,0,,,
13/2/18,3,,,
14/2/18,0.5,,,
19/2/18,1,,,
21/2/18,1,,,
25/2/18,5.5,,,
3-6-18,7,,,
4-6-18,2,,,
8-6-18,3,,,
9-11-18,2,,,
10-11-18,18,,,
14/11/18,2,,,
15/11/18,1,,,
17/11/18,1.5,,,
18/11/18,3,,,
23/11/18,2,,,
25/11/18,2,,,
13/12/18,8,,,
21/12/18,2,,,
25/11/18,2,,,
12-6-18,0.5,,,
14/6/18,3,,,
17/6/18,2,,,
21/7/18,5.5,,,
16/8/18,4,,,
17/8/18,5,,,
3-9-18,3,,,
18/10/18,3,,,
19/10/18,2,,,
