Date,Waste generated (kg)
01-02-2019,276
02-02-2019,237
03-02-2019,279.5
04-02-2019,267.75
05-02-2019,173
06-02-2019,183
07-02-2019,186
08-02-2019,239
09-02-2019,169
10-02-2019,215
11-02-2019,264.5
12-02-2019,147
13-02-2019,123
14-02-2019,123
15-02-2019,112
16-02-2019,15
17-02-2019,159
18-02-2019,155.5
19-02-2019,31
20-02-2019,209
21-02-2019,12
22-02-2019,5.5
23-02-2019,324
24-02-2019,115
25-02-2019,232
26-02-2019,
27-02-2019,183
28-02-2019,124
01-03-2019,274
02-03-2019,328
03-03-2019,134.5
04-03-2019,159
05-03-2019,5
06-03-2019,36.5
07-03-2019,197.5
08-03-2019,190
09-03-2019,346
10-03-2019,15.5
11-03-2019,252.5
12-03-2019,
13-03-2019,27.5
14-03-2019,190.5
15-03-2019,27.5
16-03-2019,304
17-03-2019,157
18-03-2019,339
19-03-2019,139
20-03-2019,141
21-03-2019,167
22-03-2019,100
23-03-2019,44.5
24-03-2019,274
25-03-2019,83
26-03-2019,70
27-03-2019,176.5
28-03-2019,64
29-03-2019,67
30-03-2019,125
31-03-2019,150
01-04-2019,87
02-04-2019,
03-04-2019,86
04-04-2019,187
05-04-2019,106
06-04-2019,170
07-04-2019,93
08-04-2019,240
09-04-2019,163
10-04-2019,115
11-04-2019,20
12-04-2019,
13-04-2019,19
14-04-2019,
15-04-2019,40
16-04-2019,30
17-04-2019,29
18-04-2019,28
19-04-2019,19
20-04-2019,28
21-04-2019,7.5
22-04-2019,16
23-04-2019,15
24-04-2019,19
25-04-2019,17
26-04-2019,21
27-04-2019,43.5
28-04-2019,37
29-04-2019,14
30-04-2019,14
01-05-2019,18
02-05-2019,17.5
03-05-2019,11
04-05-2019,5
05-05-2019,18
06-05-2019,15
07-05-2019,15.5
08-05-2019,53.5
09-05-2019,13.5
10-05-2019,11
11-05-2019,33.5
12-05-2019,5
13-05-2019,4.5
14-05-2019,23
15-05-2019,18
16-05-2019,17
17-05-2019,25
18-05-2019,12
19-05-2019,
20-05-2019,23
21-05-2019,
22-05-2019,24
23-05-2019,20
24-05-2019,10.5
25-05-2019,
26-05-2019,32
27-05-2019,27
28-05-2019,17
29-05-2019,23
30-05-2019,5
31-05-2019,20
01-06-2019,11
02-06-2019,7
03-06-2019,12
04-06-2019,11
05-06-2019,32.5
06-06-2019,
07-06-2019,10
08-06-2019,11.5
09-06-2019,2
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
