Date,Waste generated (kg)
31-03-2019,7
01-04-2019,9
02-04-2019,24
03-04-2019,38
04-04-2019,18
05-04-2019,38
06-04-2019,22
07-04-2019,21
08-04-2019,14
09-04-2019,11
10-04-2019,23
11-04-2019,16
12-04-2019,2
13-04-2019,16
14-04-2019,41
15-04-2019,19
16-04-2019,22
17-04-2019,34
18-04-2019,22
19-04-2019,18
20-04-2019,18
21-04-2019,4
22-04-2019,12
23-04-2019,20
24-04-2019,20
25-04-2019,35
26-04-2019,27
27-04-2019,11
28-04-2019,14
29-04-2019,28
30-04-2019,11
01-05-2019,16
02-05-2019,16
03-05-2019,19
04-05-2019,14
05-05-2019,11
06-05-2019,15
07-05-2019,8
08-05-2019,6
09-05-2019,21
10-05-2019,11
11-05-2019,10
12-05-2019,9
13-05-2019,15
14-05-2019,10
15-05-2019,28
16-05-2019,15
17-05-2019,21
18-05-2019,22
19-05-2019,19
20-05-2019,25
21-05-2019,12
22-05-2019,12
23-05-2019,14
24-05-2019,15
25-05-2019,16
26-05-2019,0
27-05-2019,5
28-05-2019,1
29-05-2019,0
30-05-2019,19
31-05-2019,15
01-06-2019,5
