Date,Waste generated (kg)
04-02-2019,16
05-02-2019,4
06-02-2019,12
07-02-2019,0
08-02-2019,16
09-02-2019,20
10-02-2019,0
11-02-2019,32
12-02-2019,14
13-02-2019,23
14-02-2019,13
15-02-2019,21
16-02-2019,20
17-02-2019,0
18-02-2019,11
19-02-2019,48
20-02-2019,0
21-02-2019,0
22-02-2019,54
23-02-2019,43
24-02-2019,0
25-02-2019,41
26-02-2019,0
27-02-2019,0
28-02-2019,27
01-03-2019,42
02-03-2019,59
03-03-2019,0
04-03-2019,0
05-03-2019,45
06-03-2019,23
07-03-2019,39
08-03-2019,30
09-03-2019,25
10-03-2019,0
11-03-2019,9
12-03-2019,0
13-03-2019,0
14-03-2019,6
15-03-2019,19
16-03-2019,0
17-03-2019,0
18-03-2019,0
19-03-2019,16
20-03-2019,8
21-03-2019,8
22-03-2019,8
23-03-2019,13
24-03-2019,0
25-03-2019,10
26-03-2019,0
27-03-2019,11
28-03-2019,15
29-03-2019,5
30-03-2019,28
31-03-2019,0
01-04-2019,22
02-04-2019,25
03-04-2019,25
04-04-2019,20
05-04-2019,18
06-04-2019,10
07-04-2019,0
08-04-2019,23
09-04-2019,0
10-04-2019,10
11-04-2019,26
12-04-2019,20
13-04-2019,7
14-04-2019,0
15-04-2019,0
16-04-2019,18
17-04-2019,0
18-04-2019,0
19-04-2019,0
20-04-2019,22
21-04-2019,0
22-04-2019,40
23-04-2019,0
24-04-2019,28
25-04-2019,35
26-04-2019,18
27-04-2019,20
28-04-2019,0
29-04-2019,21
30-04-2019,17
01-05-2019,0
02-05-2019,26
03-05-2019,23
04-05-2019,11
05-05-2019,0
06-05-2019,30
07-05-2019,21
08-05-2019,25
09-05-2019,16
10-05-2019,17
11-05-2019,0
12-05-2019,0
13-05-2019,20
14-05-2019,26
15-05-2019,28
16-05-2019,11
17-05-2019,14
18-05-2019,0
19-05-2019,0
20-05-2019,18
21-05-2019,0
22-05-2019,0
23-05-2019,17
24-05-2019,14
25-05-2019,10
26-05-2019,0
27-05-2019,13
28-05-2019,14
29-05-2019,14
30-05-2019,22
31-05-2019,14
01-06-2019,17
02-06-2019,0
03-06-2019,19
04-06-2019,15
05-06-2019,12
06-06-2019,9
07-06-2019,12
,
,
