Date,Waste generated (kg)
19-12-2018,23
20-12-2018,41
21-12-2018,19
22-12-2018,89
23-12-2018,24
24-12-2018,28
25-12-2018,11
26-12-2018,29
27-12-2018,10
28-12-2018,24
29-12-2018,19
30-12-2018,38
31-12-2018,25
,
01-01-2019,31
02-01-2019,29
03-01-2019,31
04-01-2019,26
05-01-2019,11
06-01-2019,39
08-01-2019,24
11-01-2019,20
19-01-2019,18
20-01-2019,33
22-01-2019,34
23-01-2019,30
29-01-2019,38
30-01-2019,46
,
01-02-2019,59
02-02-2019,39
03-02-2019,31
04-02-2019,42
05-02-2019,37
17-02-2019,60
19-02-2019,22
23-02-2019,48
24-02-2019,40
26-02-2019,42
28-02-2019,48
,
02-03-2019,49
03-03-2019,32
10-03-2019,104
11-03-2019,55
16-03-2019,20
17-03-2019,11
23-03-2019,60
24-03-2019,43
25-03-2019,65
26-03-2019,54
27-03-2019,31
28-03-2019,35
29-03-2019,21
30-03-2019,43
31-03-2019,36
,
05-04-2019,31
06-04-2019,47
07-04-2019,10
08-04-2019,15
09-04-2019,12
10-04-2019,27
11-04-2019,33
12-04-2019,40
13-04-2019,21
14-04-2019,39
15-04-2019,15
19-04-2019,19
20-04-2019,23
21-04-2019,40
22-04-2019,31
25-04-2019,15
26-04-2019,42
27-04-2019,11
28-04-2019,41
,
,
05-05-2019,22
06-05-2019,27
07-05-2019,34
08-05-2019,45
09-05-2019,25
10-05-2019,8
11-05-2019,22
12-05-2019,31
13-05-2019,21
14-05-2019,12
15-05-2019,11
16-05-2019,20
17-05-2019,18
18-05-2019,14
19-05-2019,20
20-05-2019,21
21-05-2019,24
22-05-2019,33
23-05-2019,14
24-05-2019,17
25-05-2019,65
26-05-2019,36
27-05-2019,33
28-05-2019,34
29-05-2019,56
30-05-2019,58
31-05-2019,50
