Ward.No,Ward.Name,Population,Latitude,Longitude,Bins,Required.number.of.bins
1,Kazhakkuttam,16882,8.5685708,76.8731333,11.06738848,11
2,Chanthavila,9355,8.5918271,76.8850673,6.132888237,6
3,Kattaikonam,9696,8.602297,76.8958351,6.356438733,6
4,Sreekaryam,11782,8.5471434,76.9138873,7.72396464,7
5,Cheruvackal,16063,8.9066075,76.8014512,10.53047394,10
6,Ulloor,11599,8.5295313,76.9290151,7.603994726,7
7,Edavacode,12215,8.553753,76.9304557,8.00782788,8
8,Chellamangalam,7951,8.5646377,76.9205903,5.212463321,5
9,Chempazhanthi,11845,8.5685351,76.9110056,7.765265758,7
10,Powdikonam,9280,8.573079,76.9260765,6.083720239,6
11,Njandoorkonam,9958,8.5842568,76.9189301,6.528198938,6
12,Kinavoor,9559,8.5241391,76.9366376,6.26662519,6
13,Mannanthala,8484,8.561559,76.9427006,5.561883891,5
14,Nalanchira,8720,8.5392476,76.9479911,5.71659919,5
15,Kesavadasapuram,9123,8.5297279,76.9384453,5.980795231,5
16,Medical College,6817,8.5234671,76.9282718,4.469043197,4
17,Pattom,13079,8.5207295,76.9422873,8.574243212,8
18,Muttada,4406,8.5338428,76.9471312,2.888455967,2
19,Kudappanakkunnu,9576,8.5489543,76.9624202,6.277769936,6
20,Pathirappally,10146,8.4953131,76.9748319,6.651446718,6
21,Chettivilakom,11466,8.4735979,76.9419803,7.516803477,7
22,Sasthamangalam,9810,8.508815,76.9702923,6.431174089,6
23,Kaudiar,9870,8.5219544,76.9628658,6.470508487,6
24,Kuravankonam,9018,8.5243464,76.954224,5.911960034,5
25,Nanthancode,9677,8.5142022,76.9562828,6.34398284,6
26,Kunnukuzhi,8696,8.5050622,76.9398195,5.700865431,5
27,Palayam,5069,8.5039157,76.9510538,3.323101066,3
28,Thycaud,6378,8.4893341,76.961285,4.181246518,4
29,Vazhuthacaud,8054,8.5021321,76.9641552,5.279987371,5
30,Kanjirampara,8753,8.5170719,76.9772675,5.738233109,5
31,Peroorkada,11739,8.5427586,76.9660417,7.695774988,7
32,Thuruthummoola,8598,8.5241391,76.9366376,5.636619247,5
33,Nettayam,10271,8.5403412,76.9902276,6.733393381,6
34,Kachani,8825,8.5525775,76.9945473,5.785434387,5
35,Vazhottukonam,7462,8.5300972,76.9851877,4.891887977,4
36,Vattiyoorkavu,9967,8.5386548,76.9889851,6.534099097,6
37,Kodunganoor,13641,8.5211938,77.0037344,8.942675408,8
38,PTP Nagar,8661,8.5114929,76.9909475,5.677920365,5
39,Pangode,7316,8.5038409,76.9830277,4.796174275,4
40,Thirumala,8750,8.5025561,76.9940434,5.736266389,5
41,Valiyavila,5674,8.5063657,76.9981469,3.719722913,3
42,Poojappura,15374,8.4916137,76.9787076,10.07878394,10
43,Valiyasala,7104,8.4843581,76.9592232,4.657192735,4
