Ward No.,Name of Bulk Garbage Generators (>100kgs per day),Type of Bulk Garbage Generator,Name of In-charge of the Bulk Garbage Generator,Contact,Whether On-site composting is being practised?,Exact Location of on-site composting,Name of the Person in-charge of the on-site composting facility,"Contact details of the Person in-charge.
(Mobile + Office)",Whether the Bulk Generator has IEC Messaging (Amitabh Bachchan - Composting)  of MoHUA in place ?
98,Technopark,Office complex,Riyas,,Yes,Biogas plant and bio bins placed inside Technopark campus,Simon,9745049080,
80,SAJ LUCIYA,Restaurant,REJI VARGHESE,,No,,,,
1,Hotel Alsaj,Restaurant,Riyas,,Yes,Biogas plant within the compound,Riyas,9847730455,
84,SPS KINGSWAY,Restaurant,PRASANNAKUMARAN NAIR,,Yes,Biogas plant located within the premises,Suresh,8590987001,
85,MUTHOOT SKYCHEF,Restaurant,SASI JACOB,,Yes,Biogas plant located within the campus,Ramesh,7012125480,
85,VILLA MAYA,Restaurant,SASI JACOB,,Yes,Biogas plant located at Muthoot Sky chef,Ramesh,7012125480,
82,MOURYA RAJADHANI,Restaurant,BIJU RAMESH,,No,,,,
94,General Hospital ,Hospital,Supdt,,No,,,,
16,Medical College,Hospital,Supdt,,Yes,Bio digester installed within the premises,,,
82,Ayurveda College ,Hospital,Supdt,,No,,,,
16,Regional Cancer Centre,Hospital,Supdt,,Yes,Biogas plant located within the campus,,,
94,Ophthalmic Hospital,Hospital,Supdt,,No,,,,
16,Sree Chithra Medical Centre,Hospital,Supdt,,No,,,,
16,SAT Hospital,Hospital,Supdt,,No,Bio digester installed within the premises,,,
28,W&C Hospital,Hospital,Supdt,,No,,,,
17,Cosmopolitan Hospital,Hospital,Medical Director,,No,Biogas plant located within the campus,,,
27,Jubilee Memorial Hospital,Hospital,Medical Director,,No,,,,
17,GG Hospital,Hospital,Medical Director,,No,,,,
95,KIMS,Hospital,Medical Director,,Yes,Biogas plant plant located within the campus,Biju,9349916966,
45,PRS Hospital,Hospital,Medical Director,,No,,,,
39,SK Hospital,Hospital,Medical Director,,No,,,,
80,SP Fort Hospital,Hospital,Medical Director,,No,,,,
22,SRKAC Hospital,Hospital,Medical Director,,No,,,,
6,SUT Royal Hospital,Hospital,Medical Director,,No,,,,
17,SUT Hospital,Hospital,Medical Director,,No,,,,
16,Nikunjam Retreet,Residential,,,Yes,Biobin within the premises,,,
94,Pattoor housing Association,Residential,,,Yes,Biobin within the premises,,,
19,SFS Due Drops,Residential,,,Yes,Biobin within the premises,,,
40,Beeken Green Lilly Appartment,Residential,,,Yes,Biobin within the premises,,,
47,Sun Eligent Appartment,Residential,,,Yes,Biobin within the premises,,,
29,Wind Bru Palace,Residential,,,Yes,Biobin within the premises,,,
29,Cordial Regency,Residential,,,Yes,Biobin within the premises,,,
29,Skyline Melody Appartment,Residential,,,Yes,Biobin within the premises,,,
29,SFS Capital One,Residential,,,Yes,Biobin within the premises,,,
28,Alphin Heights,Residential,,,Yes,Biobin within the premises,,,
84,Shreyas Appartments,Residential,,,Yes,Biobin within the premises,,,
82,Nikunjam Rapsodium,Residential,,,Yes,Biobin within the premises,,,
6,Heera Heaven,Residential,,,Yes,Biobin within the premises,Asokan,9633693105,
13,Lavender Gardens Appartment,Residential,,,Yes,Biobin within the premises,,,
25,Favoriety Homes Appartments,Residential,,,Yes,Biobin within the premises,Jomon Joseph,944639233,
96,Vinson Sherin ,Residential,,,Yes,Biobin within the premises,,,
26,Smrithi Venpagal Appartment,Residential,,,Yes,Biobin within the premises,,,
98,Skyline Domestic Appartment,Residential,,,Yes,Biobin within the premises,,,
22,SFS Rich Mount Appartment,Residential,,,Yes,Biobin within the premises,,,
23,SFS Vasantham Appartment,Residential,,,Yes,Biobin within the premises,,,
31,Sree Dhanya Heaven Appartment,Residential,,,Yes,Biobin within the premises,,,
30,Beeken GreenLeaves Appartment,Residential,,,Yes,Biobin within the premises,,,
92,Nikunjam Orient Appartment,Residential,,,Yes,Biobin within the premises,,,
15,Heera Point,Residential,,,Yes,Biobin within the premises,,,
15,Smrithy Enclave,Residential,,,Yes,Biobin within the premises,,,
24,Sree Dhanya Castle,Residential,,,Yes,Biobin within the premises,,,
24,Heera Graves,Residential,,,Yes,Biobin within the premises,,,
24,Condoor Daffodils,Residential,,,Yes,Biobin within the premises,,,
