Week,Inflow Capacity,Total waste generated in ward per week,Total capacity of aerobin,data
1,350,"5,930",15000,Existing data
2,700,"5,930",15000,Existing data
3,1050,"5,930",15000,Existing data
4,1400,"5,930",15000,Existing data
5,1750,"5,930",15000,Existing data
6,1955,"5,930",15000,Existing data
7,2060,"5,930",15000,Existing data
8,2165,"5,930",15000,Existing data
9,2270,"5,930",15000,Existing data
10,2375,"5,930",15000,Existing data
11,2480,"5,930",15000,Existing data
12,2585,"5,930",15000,Existing data
13,2690,"5,930",15000,Existing data
14,2795,"5,930",15000,Existing data
15,2900,"5,930",15000,Existing data
16,3005,"5,930",15000,Existing data
17,3110,"5,930",15000,Existing data
18,3215,"5,930",15000,Existing data
19,3320,"5,930",15000,Existing data
20,3425,"5,930",15000,Existing data
21,3530,"5,930",15000,Existing data
22,3635,"5,930",15000,Existing data
23,3740,"5,930",15000,Existing data
24,3845,"5,930",15000,Existing data
25,3950,"5,930",15000,Existing data
26,4055,"5,930",15000,Existing data
27,4160,"5,930",15000,Existing data
28,4265,"5,930",15000,Existing data
29,4370,"5,930",15000,Existing data
30,4475,"5,930",15000,Existing data
31,4580,"5,930",15000,Existing data
32,4685,"5,930",15000,Existing data
33,4790,"5,930",15000,Existing data
34,4895,"5,930",15000,Existing data
35,5000,"5,930",15000,Existing data
36,5105,"5,930",15000,Existing data
37,5210,"5,930",15000,Existing data
38,5315,"5,930",15000,Existing data
39,5420,"5,930",15000,Existing data
40,5525,"5,930",15000,Existing data
41,5630,"5,930",15000,Existing data
42,5735,"5,930",15000,Existing data
43,5840,"5,930",15000,Existing data
44,5945,"5,930",15000,Existing data
45,6050,"5,930",15000,Existing data
46,6155,"5,930",15000,Existing data
47,6260,"5,930",15000,Existing data
48,6365,"5,930",15000,Existing data
49,6470,"5,930",15000,Existing data
50,6575,"5,930",15000,Existing data
51,6680,"5,930",15000,Existing data
52,6785,"5,930",15000,Existing data
53,6890,"5,930",,Extrapolated data
54,6995,"5,930",,Extrapolated data
55,7100,"5,930",,Extrapolated data
56,7205,"5,930",,Extrapolated data
57,7310,"5,930",,Extrapolated data
58,7415,"5,930",,Extrapolated data
59,7520,"5,930",,Extrapolated data
60,7625,"5,930",,Extrapolated data
61,7730,"5,930",,Extrapolated data
62,7835,"5,930",,Extrapolated data
63,7940,"5,930",,Extrapolated data
64,8045,"5,930",,Extrapolated data
65,8150,"5,930",,Extrapolated data
66,8255,"5,930",,Extrapolated data
67,8360,"5,930",,Extrapolated data
68,8465,"5,930",,Extrapolated data
69,8570,"5,930",,Extrapolated data
70,8675,"5,930",,Extrapolated data
71,8780,"5,930",,Extrapolated data
72,8885,"5,930",,Extrapolated data
73,8990,"5,930",,Extrapolated data
74,9095,"5,930",,Extrapolated data
75,9200,"5,930",,Extrapolated data
76,9305,"5,930",,Extrapolated data
77,9410,"5,930",,Extrapolated data
78,9515,"5,930",,Extrapolated data
79,9620,"5,930",,Extrapolated data
80,9725,"5,930",,Extrapolated data
81,9830,"5,930",,Extrapolated data
82,9935,"5,930",,Extrapolated data
83,10040,"5,930",,Extrapolated data
84,10145,"5,930",,Extrapolated data
85,10250,"5,930",,Extrapolated data
86,10355,"5,930",,Extrapolated data
87,10460,"5,930",,Extrapolated data
88,10565,"5,930",,Extrapolated data
89,10670,"5,930",,Extrapolated data
90,10775,"5,930",,Extrapolated data
91,10880,"5,930",,Extrapolated data
92,10985,"5,930",,Extrapolated data
93,11090,"5,930",,Extrapolated data
94,11195,"5,930",,Extrapolated data
95,11300,"5,930",,Extrapolated data
96,11405,"5,930",,Extrapolated data
97,11510,"5,930",,Extrapolated data
98,11615,"5,930",,Extrapolated data
99,11720,"5,930",,Extrapolated data
100,11825,"5,930",,Extrapolated data
101,11930,"5,930",,Extrapolated data
102,12035,"5,930",,Extrapolated data
103,12140,"5,930",,Extrapolated data
104,12245,"5,930",,Extrapolated data
105,12350,"5,930",,Extrapolated data
106,12455,"5,930",,Extrapolated data
107,12560,"5,930",,Extrapolated data
108,12665,"5,930",,Extrapolated data
109,12770,"5,930",,Extrapolated data
110,12875,"5,930",,Extrapolated data
111,12980,"5,930",,Extrapolated data
112,13085,"5,930",,Extrapolated data
113,13190,"5,930",,Extrapolated data
114,13295,"5,930",,Extrapolated data
115,13400,"5,930",,Extrapolated data
116,13505,"5,930",,Extrapolated data
117,13610,"5,930",,Extrapolated data
118,13715,"5,930",,Extrapolated data
119,13820,"5,930",,Extrapolated data
120,13925,"5,930",,Extrapolated data
121,14030,"5,930",,Extrapolated data
122,14135,"5,930",,Extrapolated data
123,14240,"5,930",,Extrapolated data
124,14345,"5,930",,Extrapolated data
125,14450,"5,930",,Extrapolated data
126,14555,"5,930",,Extrapolated data
127,14660,"5,930",,Extrapolated data
128,14765,"5,930",,Extrapolated data
129,14870,"5,930",,Extrapolated data
130,14975,"5,930",,Extrapolated data
131,15080,"5,930",,Extrapolated data
132,15185,"5,930",,Extrapolated data
133,15290,"5,930",,Extrapolated data
134,15395,"5,930",,Extrapolated data
135,15500,"5,930",,Extrapolated data
136,15605,"5,930",,Extrapolated data
137,15710,"5,930",,Extrapolated data
138,15815,"5,930",,Extrapolated data
139,15920,"5,930",,Extrapolated data
140,16025,"5,930",,Extrapolated data
141,16130,"5,930",,Extrapolated data
142,16235,"5,930",,Extrapolated data
143,16340,"5,930",,Extrapolated data
