Ward Number,Ward Name (if available),Zone ,Whether Segregation of Waste takes place in the ward?,Whether door to door collection takes place in the ward? 
1,Kazhakkuttam,North,Yes,Yes
2,Chanthavila,North,Yes,No
3,Kattaikonam,North,Yes,No
4,Sreekaryam,North,Yes,No
5,Cheruvackal,North,Yes,No
6,Ulloor,North,Yes,Yes
7,Edavacode,North,Yes,Yes
8,Chellamangalam,North,Yes,No
9,Chempazhanthi,North,Yes,No
10,Powdikonam,North,Yes,No
11,Njandoorkonam,North,Yes,No
12,Kinavoor,North,Yes,Yes
13,Mannanthala,North,Yes,Yes
14,Nalanchira,North,Yes,Yes
15,Kesavadasapuram,North,Yes,Yes
16,Medical College,North,Yes,Yes
17,Pattom,North,Yes,Yes
18,Muttada,North,Yes,Yes
19,Kudappanakkunnu,East,Yes,Yes
20,Pathirappally,East,Yes,Yes
21,Chettivilakom,East,Yes,Yes
22,Sasthamangalam,East,Yes,Yes
23,Kaudiar,East,Yes,Yes
24,Kuravankonam,East,Yes,Yes
25,Nanthancode,East,Yes,Yes
26,Kunnukuzhi,South,Yes,Yes
27,Palayam,South,Yes,Yes
28,Thycaud,South,Yes,Yes
29,Vazhuthacaud,South,Yes,Yes
30,Kanjirampara,East,Yes,Yes
31,Peroorkada,East,Yes,Yes
32,Thuruthummoola,East,Yes,Yes
33,Nettayam,East,Yes,No
34,Kachani,East,Yes,No
35,Vazhottukonam,East,Yes,No
36,Vattiyoorkavu,East,Yes,Yes
37,Kodunganoor,East,Yes,No
38,PTP Nagar,East,Yes,Yes
39,Pangode,East,Yes,Yes
40,Thirumala,East,Yes,Yes
41,Valiyavila,East,Yes,Yes
42,Poojappura,East,Yes,Yes
43,Valiyasala,South,Yes,Yes
44,Jagathy,South,Yes,Yes
45,Karamana,South,Yes,Yes
46,Arannoor,South,Yes,Yes
47,Mudavanmugal,South,Yes,Yes
48,Thrikkannapuram,East,Yes,No
49,Nemom,South,Yes,Yes
50,Ponnumangalam,South,Yes,Yes
51,Punnackamugal,South,Yes,Yes
52,Pappanamcode,South,Yes,No
53,Estate,South,Yes,No
54,Nedumcaud,South,Yes,Yes
55,Kalady,South,Yes,Yes
56,Melamcode,South,Yes,No
57,Punchakkari,South,Yes,No
58,Poonkulam,South,Yes,No
59,Venganoor,South,Yes,No
60,Mulloor,South,Yes,No
61,Kottappuram,South,Yes,No
62,Vizhinjam,South,Yes,NO
63,Harbour,South,Yes,No
64,Vellar,South,Yes,No
65,Thiruvallom,South,Yes,No
66,Poonthura,South,Yes,Yes
67,Ambalathara,South,Yes,Yes
68,Kamaleswaram,South,Yes,Yes
69,Kalippankulam,South,Yes,Yes
70,Attukal,South,Yes,Yes
71,Chalai,South,Yes,Yes
72,Manacaud,South,Yes,Yes
73,Kuriathy,South,Yes,Yes
74,Puthenpally,South,Yes,Yes
75,Manickavilakom,South,Yes,Yes
76,Beemapally East,South,Yes,Yes
77,Beemapally,South,Yes,Yes
78,Muttathara,South,Yes,Yes
79,Sreevaraham,South,Yes,Yes
80,Fort,South,Yes,Yes
81,Thampanoor,South,Yes,Yes
82,Vanchiyoor,South,Yes,Yes
83,Sreekandeswaram,South,Yes,Yes
84,Perunthanni,South,Yes,Yes
85,Palkulangara,South,Yes,Yes
86,Chacka,West,Yes,Yes
87,Valiyathura,West,Yes,Yes
88,Vallakkadavu,South,Yes,Yes
89,Sanghummukham,West,Yes,Yes
90,Vettucaud,West,Yes,No
91,Karckakom,West,Yes,Yes
92,Kadakampally,West,Yes,Yes
93,Pettah,West,Yes,Yes
94,Kannammoola,South,Yes,Yes
95,Anamukham,West,Yes,Yes
96,Aakkulam,West,Yes,Yes
97,Kulathoor,West,Yes,No
98,Attipra,West,Yes,No
99,Poundkadavu,West,Yes,No
100,Pallithura,West,Yes,No
