Name of all the Schools in the ULB,Location/Landmark,Contact Official,Office Contact,Whether Green Army Unit functioning (Yes/No),Ward No.
Chalai Govt. Model HSS for Boys ,Chalai  P.O 695 036,HM/Principal,0471-2475072,Yes,71
Chalai Govt. HS for Girls ,Chalai  P.O 695 036,HM/Principal,0471-2456618,Yes,71
Chalai Govt. Tamil HSS & VHSS,Chalai  P.O 695 036,HM/Principal,0471-2476772,Yes,71
Cotton Hill Govt. HSS for Girls,Sasthamangalam P.O 695 010,HM/Principal,0471-2729591,Yes,29
Fort Govt. Sanskrit HS,Fort P.O 695 023,HM/Principal,0471-2479249,,
JagathyGovt HS,Jagathy P.O 695 014,HM/Principal,0471-2326498,,
Kachani Govt. HS,Nettayam P.O 695 013,HM/Principal,0471-2369391,,
Kalady Govt. HS,Karamana P.O 695 002,HM/Principal,0471-2344107,,
Kamaleswaram Govt. HSS,Manacad P.O 695 009,HM/Principal,0471-2458806,,
Karamana Govt. Boys HSS,Karamana P.O 695 002,HM/Principal,0471-2343529,Yes,45
Karamana Govt. Girls HSS,Karamana P.O 695 002,HM/Principal,0471-2343571,Yes,45
Karikkakom Govt. HS,Beech P.O  695 007,HM/Principal,0471-2502444,,
Kattachakonam Govt. Boys HSS,"Kattachakonam, Nalanchira P.O 695 015",HM/Principal,0471-2530710,,
Kazhakkuttom HSS,Kazhakkuttom P.O 695 582,HM/Principal,0471-2418167,,
Kulathoor Govt. HSS,Kulathoor P.O 695 583,HM/Principal,0471-2418810,Yes,
ManacaudGovt.V& HSS for Girls ,Manacaud P.O 695 009,HM/Principal,0471-2471459,Yes,72
Mannanthala Govt. HS,Nalanchira P.O 695 015,HM/Principal,0471-2541819,,
Medical College Govt. HSS,Medical College P.O 695 011,HM/Principal,0471-2443239,Yes,16
Pappanamcode Govt. HS,Industrial Estate P.O 695 019,HM/Principal,0471-2494307,,
Pattom Govt. Model HSS for Girls ,Pattom P.O 695 004,HM/Principal,0471-2553678,Yes,17
Peroorkada Govt. Girls HSS,Peroorkada P.O 695 005,HM/Principal,0471-2438219,Yes,31
Peroorkada Govt. PSNM Boys HSS,Peroorkada P.O 695 005,HM/Principal,0471-2436025,Yes,31
Petta Govt. Boys HSS,Pettah P.O 695 024,HM/Principal,0471-2474081,Yes,93
