Sl..No.,Ward.No,Ward.Name,Population,Latitude,Longitude,Required.number.of.bins,Waste.gnerated.by.ward,Existing.bins,Bins.to.be.constructed
1,Ward No - 1,Kazhakkuttam,16882,8.5685708,76.8731333,4,3689.129493,1,3
2,Ward No - 2,Chanthavila,9355,8.5918271,76.8850673,2,2044.296079,0,2
3,Ward No - 3,Kattaikonam,9696,8.602297,76.8958351,2,2118.812911,0,2
4,Ward No - 4,Sreekaryam,11782,8.5471434,76.9138873,3,2574.65488,1,2
5,Ward No - 5,Cheruvackal,16063,8.53361,76.911,4,3510.157981,0,4
6,Ward No - 6,Ulloor,11599,8.5295313,76.9290151,3,2534.664909,2,1
7,Ward No - 7,Edavacode,12215,8.553753,76.9304557,3,2669.27596,0,3
8,Ward No - 8,Chellamangalam,7951,8.5646377,76.9205903,2,1737.487774,0,2
9,Ward No - 9,Chempazhanthi,11845,8.5685351,76.9110056,3,2588.421919,0,3
10,Ward No - 10,Powdikonam,9280,8.573079,76.9260765,2,2027.906746,0,2
11,Ward No - 11,Njandoorkonam,9958,8.5842568,76.9189301,2,2176.066313,0,2
12,Ward No - 12,Kinavoor,9559,8.5241391,76.9366376,2,2088.875063,0,2
13,Ward No - 13,Mannanthala,8484,8.561559,76.9427006,2,1853.961297,0,2
14,Ward No - 14,Nalanchira,8720,8.5392476,76.9479911,2,1905.533063,0,2
15,Ward No - 15,Kesavadasapuram,9123,8.5297279,76.9384453,2,1993.59841,0,2
16,Ward No - 16,Medical College,6817,8.5234671,76.9282718,2,1489.681066,0,2
17,Ward No - 17,Pattom,13079,8.5207295,76.9422873,3,2858.081071,0,3
18,Ward No - 18,Muttada,4406,8.5338428,76.9471312,1,962.8186557,1,0
19,Ward No - 19,Kudappanakkunnu,9576,8.5489543,76.9624202,2,2092.589979,1,1
20,Ward No - 20,Pathirappally,10146,8.4953131,76.9748319,3,2217.148906,0,3
21,Ward No - 21,Chettivilakom,11466,8.4735979,76.9419803,3,2505.601159,0,3
22,Ward No - 22,Sasthamangalam,9810,8.508815,76.9702923,2,2143.724696,0,2
23,Ward No - 23,Kaudiar,9870,8.5219544,76.9628658,2,2156.836162,2,0
24,Ward No - 24,Kuravankonam,9018,8.5243464,76.954224,2,1970.653345,1,1
25,Ward No - 25,Nanthancode,9677,8.5142022,76.9562828,2,2114.660947,1,1
26,Ward No - 26,Kunnukuzhi,8696,8.5050622,76.9398195,2,1900.288477,0,2
27,Ward No - 27,Palayam,5069,8.5039157,76.9510538,1,1107.700355,5,-4
